payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,77.47,"ПАТ ""Укртелеком""",21560766,2021-10-21,"1216090;2240;опл.за телекомунікаційні послуги за 09.2021;Дог.№МКЛ/БЛ-3235/145 від 25.03.2021,рах.-акт №9 від 05.10.2021;ПДВ 12,92."
Департамент ЖКГ,03365707,7309.1,ФОП Воробйова Л.А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Корабельного рай.в м.Микол.за 10.2021;Дог.№29 в.01.02.2021,рах.№45,акт№45 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,80258.34,ФОП Воробйова Л.А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Корабельного рай.в м.Микол.за 10.2021;Дог.№29 в.01.02.2021,рах.№39,акт№39 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,55700.05,ФОП Мироненко А. А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Центрального рай.в м.Мик.за 10.2021;Дог.№109 від 05.03.2021,рах.№70,акт№70 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,38331.5,ФОП Мироненко А. А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Центрального рай.в м.Мик.за 10.2021;Дог.№109 від 05.03.2021,рах.№68,акт№68 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,70521,ФОП Воробйова Л.А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Корабельного рай.в м.Микол.за 10.2021;Дог.№29 в.01.02.2021,рах.№40,акт№40 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,21657.35,ФОП Мироненко А. А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Центрального рай.в м.Мик.за 10.2021;Дог.№109 від 05.03.2021,рах.№64,акт№64 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,121815.64,ФОП Мироненко А. А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.пос.посад.та догл.за квітник.розт.в м.Микол.на об.благ.закріп.за ДЖКГ ММР за 10.2021;Дог.№219 в.26.04.2021,рах.№71,акт№71 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,4105.5,ФОП Воробйова Л.А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Корабельного рай.в м.Микол.за 10.2021;Дог.№29 в.01.02.2021,рах.№41,акт№41 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,3661.4,ФОП Мироненко А. А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Центрального рай.в м.Мик.за 10.2021;Дог.№109 від 05.03.2021,рах.№69,акт№69 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,69645.44,ФОП Воробйова Л.А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Корабельного рай.в м.Микол.за 10.2021;Дог.№29 в.01.02.2021,рах.№44,акт№44 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,48147.23,ФОП Мироненко А. А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.посл.догл.за об.благ.зел.госп.розташ.на терит.Центрального рай.в м.Мик.за 10.2021;Дог.№109 від 05.03.2021,рах.№65,акт№65 в.13.10.2021;Без ПДВ."
Департамент ЖКГ,03365707,202452.86,ФОП Мироненко А. А.,xxxxxxxxxx,2021-10-21,"1216030;2240;опл.пос.посад.та догл.за квітник.розт.в м.Микол.на об.благ.закріп.за ДЖКГ ММР за 10.2021;Дог.№219 в.26.04.2021,рах.№67,акт№67 в.13.10.2021;Без ПДВ."
