payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
"КНП ММР ""МЛ №5""",01998489,5966,"КНП ММР ""Міська лікарня № 5""",01998489,2021-12-14,";;Відшкод. на опл. праці  та нарах. лік-інтернам за 08.xxxxр.; дог.38/01.08.21р., звіт б/н -15.11.21р. зг. пос.№536/19.06.20р.; без ПДВ."
"КНП ММР ""МЛ №5""",01998489,22000,"ТОВ ""Лайт-Сервіс""",39376560,2021-12-21,"0712010;3210;кінц.оплата за компютери; зг дог 18-О від 10.12.21р., рах.2771, в/накл 462 від 17.12.21р., інша субв. з ОБ МБ; ПДВ 3666,67."
"КНП ММР ""МЛ №5""",01998489,28942.02,Миколаїв.ГУК/Корабел.р-н/18010500,37992030,2021-12-20,*;101;01998489; КПКВК 0712010 КЕКВ 2610 Податок на землю за  грудень 2021р.  Перер. до бюдж. повн. Стр.спл. 31.12.21р;;;
"КНП ММР ""МЛ №5""",01998489,38.36,ТОВ Мик.електропостач.комп.,42129888,2021-12-20,"0712010;2610; оплата 3% річних за 11.21р.; дог 40/909/76-П-22.09.21р., д/у 6-10.12.21р.,  рах.40/909/11/1 від 01.12.21р. місц.бюд.21р.; без ПДВ."
"КНП ММР ""МЛ №5""",01998489,8175.89,"ОКП ""Миколаівоблтеплоенерго""",31319242,2021-12-20,"0712010;2610;опл.за постач.тепл.енер на опал. у 11.21р.; зг дог 6002.33/84-П -08.12.21р., р.-ф.6002.34, акт 6002.34-08.12.21р. міс.бюд.21р.; ПДВ1362,64."
"КНП ММР ""МЛ №5""",01998489,23679.77,"ОКП ""Миколаівоблтеплоенерго""",31319242,2021-12-20,"0712010;2610;опл.за постач.тепл.енер на опал. у 11.21р.; зг дог 6002.33/84-П -08.12.21р., р.-ф.6002.33, акт 6002.33-08.12.21р. міс.бюд.21р.; ПДВ3946,62."
"КНП ММР ""МЛ №5""",01998489,105.21,ТОВ Мик.електропостач.комп.,42129888,2021-12-20,"0712010;2610; оплата інфляції за 11.21р.; дог 440/909/76-П-22.09.21р., д/у 6-10.12.21р.,  рах.40/909/11/1 від 01.12.21р. місц.бюд.21р.; без ПДВ."
"КНП ММР ""МЛ №5""",01998489,32268,"ОКП ""Миколаівоблтеплоенерго""",31319242,2021-12-29,"0712010;2610;опл.за тепл.енер на опал. у 11.21р.; зг дог 6002.30/3-П -05.01.21р., д/у 6-23.12.21, р.-ф.6002.30, акт 6002.30-30.11.21р. міс.бюд.21р.; ПДВ5378,00."
"КНП ММР ""МЛ №5""",01998489,1255.82,МКП Миколаївводоканал,31448144,2021-12-29,"0712010;2610;за водовідв. у12.21р;зг дог ЮВ/317/1-к/82-П -16.12.21р, д/у 2-23.12.21р., р.Х-ВО-8015/0185-12.2021/21, акт12 від 21.12.21р. міс.бюд21р; ПДВ 209,30."
"КНП ММР ""МЛ №5""",01998489,44294.93,МКП Миколаївводоканал,31448144,2021-12-29,"0712010;2610;за водовідв. у 12.21р;зг дог ЮЗ/506-к/115-П -23.12.20р,д/у 5-23.12.21р., р.Ц-ВО-8015/0185-12.2021/16, акт12 від 16.12.21р. міс.бюд21р; ПДВ 7382,49."
"КНП ММР ""МЛ №5""",01998489,34217.61,"ОКП ""Миколаівоблтеплоенерго""",31319242,2021-12-29,"0712010;2610;опл.за постач.тепл.енер на опал. у 12.21р.; зг дог 6002.33/84-П -08.12.21р., р.-ф.6002.33, акт 6002.33-24.12.21р. міс.бюд.21р.; ПДВ 5702,93."
"КНП ММР ""МЛ №5""",01998489,1359.83,МКП Миколаївводоканал,31448144,2021-12-29,"0712010;2610;за водопост у12.21р;зг дог ЮВ/317/1-в/81-П від 16.12.21, д/у 1-23.12.21р.,р.Х-В-8015/0185-12.2021/21, акт12 від 21.12.21р.міс.бюд21р;ПДВ 226,64."
