payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Центрального району,05410576,21249.6,"ТОВ""УКРБІОРОСТ""",36954586,2020-04-27,"4316030;2240;викорч.пнів, з подальш.вивез.сміття;зг.дог.№204 від 09.04.2020, рах.на оплату,акт над.посл.№1від15.04.2020;ПДВ-3541,60."
Департамент ЖКГ,03365707,144485.46,"ТОВ ""УКРБІОРОСТ""",36954586,2020-05-04,"1218340;2240;оп.за пос.з підріз.дер.і живих огор.(лік.нас.бур.,сніголам.,вітровал.);Дог.№83 в.11.02.20,ДУ2в.02.04.20,р№1,а.п.в.р.№3/03/1 в.28.04.2020р;без ПДВ."
Адміністрація Центрального району,05410576,90746.68,"ТОВ""УКРБІОРОСТ""",36954586,2020-05-18,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.сан.та формув.обрез.дерев.);зг.дог.114в.24.03.2020,рах.,акт7/04в.07.05.2020;ПДВ-15124,45."
Департамент ЖКГ,03365707,144485.46,"ТОВ ""УКРБІОРОСТ""",36954586,2020-05-04,"1218340;2240;оп.за пос.з підріз.дер.і живих огор.(лік.нас.бур.,сніголам.,вітровал.);Дог.№83 в.11.02.20,ДУ2в.02.04.20,р№1,а.п.в.р.№3/03/1 в.28.04.2020р;без ПДВ."
РСЦ МВС в Миколаївській обл.,40112102,587.35,"ТОВ ""УКРБІОРОСТ""",36954586,2020-06-05,"Повернення  помил. перерах.коштів; згідно заяви б/н  від 27.05.xxxxр.,п.д.№xxxx від 26.05.xxxxр.; Без ПДВ."
Адміністрація Центрального району,05410576,103501.99,"ТОВ""УКРБІОРОСТ""",36954586,2020-06-22,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.,сан.та формув.обріз.дерев);зг.дог.114 від 24.03.2020, рах., акт13/05 від 05.06.2020;ПДВ-21522,38."
Адміністрація Центрального району,05410576,86831.54,"ТОВ""УКРБІОРОСТ""",36954586,2020-07-15,"4316030;2240;посл.з озел.тер.та утр.зел.нас.(сан.вид.пор. з дер.та зел.зон із навант.та вивез.гілок);дог.251 від 20.05.20,р.б/н, акт18/06-02.07.20;ПДВ-14471,92."
Адміністрація Заводського району,05410599,94161.2,"ТОВ ""УКРБІОРОСТ""",36954586,2020-07-10,"4018110;2240;ПослОзелТерТаУтрЗелНасЗвалДер.у06.20;акт11/05/01.07.20р11/05/01.07.20 д.юр/ТК153/19.05.20д.у1/26.05.20ПерНевідк(першоч)робіт/26.02.20;ПДВ-17930,31."
Адміністрація Центрального району,05410576,110168.46,"ТОВ""УКРБІОРОСТ""",36954586,2020-07-09,"4316030;2240;посл.з озел.тер.та утр.зел.нас.(сан.вид.пор. з дер.та зел.зон із навант.та вивез.гілок);дог.251 від 20.05.20,р.б/н, акт15/05-01.07.20;ПДВ-18361,41."
Адміністрація Заводського району,05410599,75937.98,"ТОВ ""УКРБІОРОСТ""",36954586,2020-07-09,"4016030; 2240; посл.з оз.тер.та утр.зел.насад.Знес.дерев на тер.Зав.р-ну м.Мик.у06.20; акт№9/05/01.07.20,рах№9/05/01.07.20, дог№ЮР/ТК151/18.05.20; ПДВ-14653,00."
Адміністрація Центрального району,05410576,33761.14,"ТОВ""УКРБІОРОСТ""",36954586,2020-08-10,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.сан.та формув.обрез.дерев.);зг.дог.114в.24.03.2020,рах.,акт20/07в.03.08.2020;ПДВ-6225,13."
Департамент ЖКГ,03365707,131431.24,"ТОВ ""УКРБІОРОСТ""",36954586,2020-08-19,"1216030;2240;за посл.з озел.тер.та утрим.зелен.насадж.(видал.,обріз.дерев та корч.пнів)за 07.2020;Д.№1167 від 16.07.2020,р.№1,а.№1/08від12.08.2020;ПДВ21905,21."
