payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,3314,Департамент ЖКГ,03365707,2021-09-28,"1216011;3131;відр.на утр.від.технагл.за пос.з кап.рем.покр.багатоповерх. ж/б по вул.Металургів,72 в м.Мик.;згідно звед.кошт.розр.за 09.21р.;Без ПДВ."
Департамент ЖКГ,03365707,2651.83,Департамент ЖКГ,03365707,2021-09-24,"1216011;3131;відр.на утрим.від.технаг.за посл.з кап.рем.покрівлі ж/б по в.Озерна, 15Б в м.Мик.;згідно звед.кошт.розрах.за 08.21р.;Без ПДВ."
Департамент ЖКГ,03365707,629.63,Департамент ЖКГ,03365707,2021-09-09,1216020;2240;відрахув.на утр.від.тех.нагл.за вик.посл.поточ.рем.мереж зовн.освітл.по вул.Погранична в м.Микол.;згідно акту№59 від 01.09.2021 за 07.2021;Без ПДВ.
Департамент ЖКГ,03365707,284.79,Департамент ЖКГ,03365707,2021-09-09,1216011;2240;відр.на утр.від. тех.нагл.за посл.поточ.рем.прибуд.терит.ж/б №80 по вул.Погранична у Завод.рай.м.Мик.;згід.звед.кошт.розр.за 08.2021;БезПДВ.
Департамент ЖКГ,03365707,3039.46,Департамент ЖКГ,03365707,2021-09-09,"1216011;2240;відрах.на утрим.від.тех.нагл.за посл.поточ.рем.ж/б за адрес.вул.Набережна,5/11 в м.Микол. ;згід.звед.кошт.розр.за 09.2021;БезПДВ."
Департамент ЖКГ,03365707,283.57,Департамент ЖКГ,03365707,2021-09-09,1216011;2240;відр.на утр.від. тех.нагл.за посл.поточ.рем.прибуд.терит.ж/б №69 по вул.Погранична у Завод.рай.м.Мик.;згід.звед.кошт.розр.за 08.2021;БезПДВ.
Департамент ЖКГ,03365707,1991.73,Департамент ЖКГ,03365707,2021-09-09,"1216011;2240;відрах.на утрим.від.тех.нагл.за посл.поточ.рем.ж/б за адрес.вул.Адміральська,18 в м.Микол. ;згід.звед.кошт.розр.за 09.2021;БезПДВ."
Департамент ЖКГ,03365707,287.84,Департамент ЖКГ,03365707,2021-09-09,1216011;2240;відр.на утр.від. тех.нагл.за посл.поточ.рем.прибуд.терит.ж/б №131-А по вул.Погранична у Завод.рай.м.Мик.;згід.звед.кошт.розр.за 08.2021;БезПДВ.
Департамент ЖКГ,03365707,870.89,Департамент ЖКГ,03365707,2021-09-09,"1216030;2240;відр.на утр.від.технагл.за вик.пос.пот.рем.об.благ.розт.біля мон.""Стела пам'яті"" по вул.Адміральській,22 в м.Мик.;зг.зв.кошт.роз.за 09.2021;БезПДВ."
Департамент ЖКГ,03365707,4727.75,Департамент ЖКГ,03365707,2021-09-06,"1216011;3131;відр.на утр.від технагл.за пос.з кап.післяекс.рем.вуз.та обл.ліфт.в ж/б по в.Шосейна,46(п1,п2,п3) в м.М.;згідно звед.кошт.розр.за 08.2021р;Без ПДВ."
