payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,3838.64,"ТОВ ""ЕЛЕСТЕК-ЛІФТ""",43944409,2021-09-24,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 30.07.xxxx р. зг. ЄР 10 ,ЗР 10  ;без ПДВ."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,910.7,"ТОВ ""ЕЛЕСТЕК-ЛІФТ""",43944409,2021-09-24,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 30.07.xxxx р. зг. ЄР 14 ,ЗР 14  ;без ПДВ."
Департамент ЖКГ,03365707,18978,"ТОВ ""Елестек-ліфт""",43944409,2021-10-21,"1216011;2240;опл.посл.пот.рем.ліф.ж/б по пр.Богоявл.325/1(п.1) в м.Мик.за 09.21;Д.431 від 04.08.21ду1в16.09.21рах431в11.10.21акт1в11.10.21;ПДВ-3163,00."
Департамент ЖКГ,03365707,17474.4,"ТОВ ""Елестек-ліфт""",43944409,2021-10-21,"1216011;2240;опл.посл.пот.рем.ліф.ж/б по вул.Океан.60(п.2) в м.Мик.за 09.21;Д.432 від 04.08.21ду1в16.09.21рах432в11.10.21акт1в11.10.21;ПДВ-2912,40."
Департамент ЖКГ,03365707,40812,"ТОВ ""Елестек-ліфт""",43944409,2021-10-21,"1216011;2240;опл.посл.пот.рем.ліф.ж/б по вул.Океан.32А(п.2) в м.Мик.за 09.21;Д.433 від 04.08.21ду1в16.09.21рах433в11.10.21акт1в11.10.21;ПДВ-6802,00."
Департамент ЖКГ,03365707,19062,"ТОВ ""Елестек-ліфт""",43944409,2021-10-21,"1216011;2240;опл.посл.пот.рем.ліф.ж/б по вул.Океан.36(п.1) в м.Мик.за 09.21;Д.435 від 04.08.21ду1в16.09.21рах435в11.10.21акт1в11.10.21; ПДВ-3177,00."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,1890.9,"ТОВ ""ЕЛЕСТЕК-ЛІФТ""",43944409,2021-10-22,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 31.08.xxxx р. зг. ЄР 105 ,ЗР 105  ;без ПДВ."
Департамент ЖКГ,03365707,41546.4,"ТОВ ""Елестек-ліфт""",43944409,2021-10-19,"1216011;2240;опл.посл.поточ.рем.ліф.ж/б по вул.Озерна,17(п.1,п.2) у м.Мик за 10.2021;Дог.№442від04.08.2021рах.442,акт№1 від 05.10.2021;ПДВ-6924,40."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,857.16,"ТОВ ""ЕЛЕСТЕК-ЛІФТ""",43944409,2021-10-23,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 01.09.xxxx р. зг. ЄР 69 ,ЗР 69  ;без ПДВ."
Департамент ЖКГ,03365707,35252.4,"ТОВ ""Елестек-ліфт""",43944409,2021-10-28,"1216011;2240;опл.посл.пот.рем.ліф.ж/б по вул.Лазурна14(п.2) в м.Мик.за 10.21;Д.434 від 04.08.21рах434в05.10.21акт1в05.10.21;ПДВ-5875,40."
Департамент ЖКГ,03365707,28238.4,"ТОВ ""Елестек-ліфт""",43944409,2021-11-09,"1216011;2240;опл.посл.пот.рем.ліф.ж/б по вул.Лазурна,20А (п.1,2) в м.Мик.за 10.21;Д.439 від 04.08.21ду1в28.09.21рах439в03.11.21акт1в03.11.21;ПДВ-4706,40."
Департамент ЖКГ,03365707,27561.6,"ТОВ ""Елестек-ліфт""",43944409,2021-11-09,"1216011;2240;опл.посл.пот.рем.ліф.ж/б по вул.Озерна,3(п.1,3) в м.Мик.за 10.21;Д.441 від 04.08.21ду1в28.09.21рах441в03.11.21акт1в03.11.21;ПДВ-4593,60."
