payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Гуманітарний відділ,44050616,60500,"ТзОВ ""Енiк Енерджi Груп""",39782701,2022-01-28,"0611021;2275;брикети торф'янi;Догов.№0911вiд 19.01.2022р.Зв.UA-2021-12-15-018568-c вiд 20.01.2022р.накл.№21-011-014,22-011вiд 21.01.2022р;в т.ч.ПДВ-10083,34."
Гуманітарний відділ,44050616,23100,"ТзОВ ""Енiк Енерджi Груп""",39782701,2022-01-31,"0611010;2275;брикети торф'янi;Догов.№0911вiд 19.01.2022р.Зв.UA-2021-12-15-018568-c вiд 20.01.2022р.накл.№22-012 вiд 22.01.2022р;в т.ч.ПДВ-3850,00."
Гуманітарний відділ,44050616,23320,"ТзОВ ""Енiк Енерджi Груп""",39782701,2022-01-31,"0611021;2275;брикети торф'янi;Догов.№0911вiд 19.01.2022р.Зв.UA-2021-12-15-018568-c вiд 20.01.2022р.накл.№21-012 вiд 28.01.2022р;в т.ч.ПДВ-3886,67."
