payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Павлівська с/р,04333342,34067.08,"ТОВ ""Енік Енерджі Груп""",39782701,2021-01-27,"0111021;2275-34067,08;За напівбрикети торф'яні;  зг.нак.№16-012 від  25.01.2021р. та дог. №9 від 11.01.2021року ; в т.ч. ПДВ-5677,85."
Павлівська с/р,04333342,66845.92,"ТОВ ""Енік Енерджі Груп""",39782701,2021-01-27,"0111021;2275-66845,92; За напівбрикети торф'яні;  зг.нак.№12-122,12-123 від  25.01.2021р. та дог. №9 від 11.01.2021року ; в т.ч. ПДВ-11140,99."
Павлівський ліцей Волинської області,23016630,47140.8,"ТзОВ ""Енiк Енерджi Груп""",39782701,2021-01-29,"0111021;КЕКВ 2275-47140,80;За напiвбрикети торфянi;згiдно накладної № 12-011 вiд 27.01.2021р та дог.№ 2 вiд 12 сiчня 2021 року;в т.ч.ПДВ-7856,80."
Любомльська міська рада,04051336,19871.2,"ТзОВ""Енiк Енерджi Груп""",39782701,2021-01-29,0110150;2275;вугiлля;накл№25-011 вiд 25.01.21р. Договiр№6 вiд 14.01.2021р.;без ПДВ UA-2020-12-09-006776-c
Олицька селищна рада,04333879,44026.2,"ТзОВ ""Енiк Енерджi Груп""",39782701,2021-02-19,"ТПКВК 0111010;КЕКВ 2275-44026.20;За брикети торфовi ;зг.нак.11-021  11.02.21,дог.28/01/21-01  28.01.21 зак UA-2020-12-16-013701-c ;в т.ч. ПДВ-7337.70."
Любомльська міська рада,04051336,20039.6,"ТзОВ""Енiк Енерджi Груп""",39782701,2021-02-11,0110150;2275;вугiлля;накл№07-021 вiд 07.02.21р. Договiр№6 вiд 14.01.2021р.;без ПДВ UA-2020-12-09-006776-c
Любомльська міська рада,04051336,20376.4,"ТзОВ""Енiк Енерджi Груп""",39782701,2021-02-11,0110150;2275;вугiлля;накл№07-022 вiд 07.02.21р. Договiр№6 вiд 14.01.2021р.;без ПДВ UA-2020-12-09-006776-c
Цуманська селищна рада,04333885,81270.2,"ТзОВ""Енiк Енерджi Груп""",39782701,2021-02-12,"ТПКВК 0111010; КЕКВ 2275-81270,20;опл.за брик.торф.;н.№08-029,08-022,08-028в08,02,21р.д,№13в22,01,21р.зв.UA-2020-12-21-014240-с в 22,01,21р.;у.т.ч.ПДВ-13545,03."
Цуманська селищна рада,04333885,8729.8,"ТзОВ""Енiк Енерджi Груп""",39782701,2021-02-12,"ТПКВК 0111010; КЕКВ 2275-8729,80;опл.за брик.торф.;н.№08-023в08,02,21р.д,№13в22,01,21р.зв.UA-2020-12-21-014240-с в 22,01,21р.;у.т.ч.ПДВ-1454,97."
Цуманська селищна рада,04333885,6883,"ТзОВ""Енiк Енерджi Груп""",39782701,2021-02-12,"ТПКВК 0110150; КЕКВ 2275-6883,00;опл.за брик.торф.;н.№08-023в08,02,21р.д,№13в22,01,21р.зв.UA-2020-12-21-014240-с в 22,01,21р.;у.т.ч.ПДВ-1147,17."
