payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Гуманітарний відділ,44050616,95709.51,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0614060; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№4 вiд 20.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,220727.34,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0611080; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№1 вiд 20.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,947949,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0611031; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№1-24 вiд 28.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,1876599.22,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0611031; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№1-23 вiд 28.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,54725.56,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0611152; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№18 вiд 27.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,217486.05,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0611070; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№21 вiд 28.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,7796.35,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0611070; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№16 вiд 27.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,83832.83,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0615031; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№17 вiд 27.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,17593.9,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0610160; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№18 вiд 28.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,6264.34,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0614040; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№3 вiд 20.01.21р.Податки i внески до бюджету перерахованi повнiстю.
Гуманітарний відділ,44050616,165467.69,Гуманiтарний вiддiл,44050616,2021-01-29,КПКВК0614030; КЕКВ2111; З/пл за сiчень 2021р; зг.платiж.вiдом.№2 вiд 20.01.21р.Податки i внески до бюджету перерахованi повнiстю.
