payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
"КНП КОР""Київ. обл.центр служби крові""",01992376,7803,"ТОВ НВК ""Укрекопром""",39624900,2021-10-18,"0712152; 2610; за послуги із збир.,зберіг.,перевез. та обр.шляхом знеш.небезп.відходів; дог.від 15.02.2021 №33,а.н.п.від 04.10.2021 №5476; в т.ч.ПДВ 1300,50."
"КНП ""Таїровський КДЦ""",43060644,501.6,"ТОВ""Науково-виробнича компанiя""УКРЕКОП",39624900,2021-10-20,"0112111;2610;(2275)послуга зi збирання вiдходiв;згiдно дог.3479вiд 18.02.2021р.,акт №5036 вiд 19.10.2021р.; в т.ч ПДВ 83,60."
"КНП ""Таїровський КДЦ""",43060644,570,"ТОВ""Науково-виробнича компанiя""УКРЕКОП",39624900,2021-10-20,"0112111;2610;(2275)послуга зi збирання вiдходiв;згiдно дог.3479вiд 18.02.2021р.,акт №5712 вiд 19.10.2021р.; в т.ч ПДВ 95,00."
"КНП ""ПКБ №1 м.Львова""",01984292,7560,"ТзОВ""НАУКОВО-ВИРОБНИЧА КОМПАНIЯ ""УКРЕК",39624900,2021-10-01,"0712030;2610;опл.за послуг. знешкодження бiологiчних вiдходiв 08.21р;акт№5241 вiд 17.09.21р.уг.№4702 вiд 27.07.21р.Вт.ч.ПДВ-1260,00."
ЗМРУМЮ (М.Львів),43317547,7796.31,"ТОВ ""НВК ""Укрекопром""",39624900,2021-10-20,"3601010;2240;Опл.за  послуги з утилізації тютюн.вироб. для ВПВР Волинь;Д№9052,16.08.21Р№4952,06.09.21А№4982,06.09.21;ПДВ-1299,39."
ЗМРУМЮ (М.Львів),43317547,1144.94,"ТОВ ""НВК ""Укрекопром""",39624900,2021-10-20,"3601010;2240;Опл.за  послуги з утилізації тютюн.вироб. для ВПВР Волинь;Д№9052,16.08.21Р№5454,23.09.21А№5480,23.09.21;ПДВ-190,82."
"ДУ ""ІНСТИТУТ УРОЛОГІЇ НАМН""",02011918,1638,"ТОВ""НВК ""Укрекопром""",39624900,2021-10-26,"6561060;2240; Послуги на перевез.та утил.біолог.відходів шляхом спалюв-ння.;Дог.№ 0106/21 від 01.06.2021р.; Акт.№5259від 25.10.2021р.;в.т.ч. ПДВ-273,00"
"ДУ ""ТМО МВС України по місту Києву""",37027405,2923.2,"ТОВ""НВК""Укрекопром""",39624900,2021-10-27,"1001050;2240; послуги з перевезення та забезпечення знешкодження медичних відходів; дог. СП-105/03 від 30.03.2021, акт 6059 від 25.10.2021; в т. ч. ПДВ-487,20."
"КНП ""КМЦК""",42427142,1170,"ТОВ ""НВК""УКРЕКОПРОМ""",39624900,2021-10-18,"0712060; 2610; ;Опл. за  послуги перевезення та знишення біовідходів; дог.від 13.04.2021 №13.1/04.21,а.н.п.від 11.10.2021 №5460; в т.ч.ПДВ 195,00."
"КНП ""КМЦК""",42427142,1287,"ТОВ ""НВК""УКРЕКОПРОМ""",39624900,2021-10-18,"0712060; 2610; ;Опл. за  послуги перевезення та знишення біовідходів; дог.від 13.04.2021 №13.1/04.21,а.н.п.від 11.10.2021 №5498; в т.ч.ПДВ 214,50."
"ДНУ ""НПЦ ПКМ"" ДУС",05415786,6355.08,"ТОВ""НАУКОВО-ВИРОБНИЧА КОМПАНIЯ""УКРЕКОП",39624900,2021-10-20,"0301170;2240; знешкодження клiнiчних та подiбних їм вiдходiв (мед.вiдходи); дог.№260/К вiд 26.08.2021р. акт № 5936 вiд 13.10.2021р.в т.ч.ПДВ- 1059,18 covid-19"
Чернівецький нац. універ. Ю.Федьковича,02071240,29700,"ТОВ ""НВК""Укрекопром""",39624900,2021-10-22,"2201160;2282;За утилізацію протигазів;зг.акт.5537 від 21.10.21р.;зг.дог.5076 від 01.10.21р.;в т.ч.ПДВ-4950,00 грн"
"КНП ""КМЦК""",42427142,1170,"ТОВ ""НВК""УКРЕКОПРОМ""",39624900,2021-10-22,"0712060; 2610; ;Опл. за  послуги перевезення та знишення біовідходів; дог.від 13.04.2021 №13.1/04.21,а.н.п.від 18.10.2021 №5762; в т.ч.ПДВ 195,00."
"КУ ""Одеський зоопарк""",02219955,2514,ТОВ НВК Укрекопром,39624900,2021-10-06,"2614081;2240;за посл.зi збер,обробл,знешкодж,утiлiз вiдпр. акум.бат.за 09.21;Дог№3500вiд11.02.21,акт над посл.№5540 вiд01.10.21р;втчПДВ-419,00."
"УКВ ""Автотранспортне господарство ОМВ""",23211567,2385,"ТОВ ""НВК ""Укрекопром""",39624900,2021-10-26,"0217450;2240;За посл.з поводж.з безпечн.та небезп.вiдход.за 3кв2021р;Акт викон.робiт/над.посл.5980в21.10.21р.Дог.3860в26.02.21р.ДУ1в26.02.21р;у т.ч.ПДВ-397,50."
