payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
МОУ,00034022,14700000,"ТОВ ""ПАРАДІЗ-ІНВЕСТ""",41340333,2020-11-25,"2101190,3121;опл.пай.внеску 30% на пр.жит.для в/сл.на ум.п/у;р-ф.СФ-0000001-18.11.20дN503/33/2-20-30.10.20;В т.ч.ПДВ 2450000.00"
МОУ,00034022,12598314,"ТОВ ""ПАРАДІЗ-ІНВЕСТ""",41340333,2020-12-30,"2101190,3121;придб.житл.для в/с на ум.п/у;вит.-23.12.20,24.12.20,акт2-16.12.20дN503/33/142-20-02.12.20ду1-2-17.12.20;В т.ч.ПДВ 2099719.00"
МОУ,00034022,34299045.9,"ТОВ ""ПАРАДІЗ-ІНВЕСТ""",41340333,2020-12-30,"2101190,3121;пр.жит.для в/с.на ум.п/у;в23,24.12.20,МК122201102223,-3301334,162192741632;а3-18.12.20д503/33/2-20-30.10.20ду1,2-17.12.20;ПДВ5716507,65"
МОУ,00034022,25190691,"ТОВ ""ПАРАДІЗ-ІНВЕСТ""",41340333,2020-12-30,"2101190,3121;пр.жит.для в/сл.на ум.п/у;вит-24.12.20,МК122203301334,акт4-18.12.20дN503/33/142-20-02.12.20,ду1-2-17.12.20;В т.ч.ПДВ 4198448.50"
Міністерство оборони України,00034022,980000,"ТОВ ""ПАРАДІЗ-ІНВЕСТ""",41340333,2021-02-15,"поверн.забезпеч.вик.догов.№503/33/2-20 від 30.10.20 від МОУ відпов. до наказу МОУ №757 від 31.12.xxxx (над.N1-23.10.20),Без ПДВ"
Міністерство оборони України,00034022,755800.62,"ТОВ ""ПАРАДІЗ-ІНВЕСТ""",41340333,2021-02-15,"поверн.забезпеч.вик.догов.№503/33/142-20 від 02.12.20 від МОУ відпов. до наказу МОУ №757 від 31.12.xxxx (над.N3-25.11.20),Без ПДВ"
