payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
"КНП ММР ""МЛ № 1""",05483078,545.72,Миколаїв.ГУК/Централ.р-н/11011000,37992030,2021-10-21,*;101;xxxx;військовий збір  утр.із лікарн. за серпень 21р.Пер. до бюдж.повн.;;;
"КНП ММР ""МЛ № 1""",05483078,29287.34,ПРИВАТ БАНК,23618145,2021-10-21,;;АСТОФ: лікарняні за серпень  21р.;;без ПДВ.
"КНП ММР ""МЛ № 1""",05483078,6548.72,Миколаїв.ГУК/Централ.р-н/ 11010100,37992030,2021-10-21,*;101;xxxx;подат.на дох.фіз. ос.що сплач.под.агент.із дох.плат.под.у вигляді лікарнян.за серпень 21р.Пер. до бюдж.повн.;;;
"КНП ММР ""МЛ № 1""",05483078,1296.47,КНП ММР ЦПМСД№5,35512883,2021-10-22,"0712010;2610;відшкод. за розпод.газу за вересень 21р;зг.з дог.21/03.02.21 акт п/п 2/30.09.21рах .2/04.10.21 МБ; ПДВ-216,08."
"КНП ММР ""МЛ № 1""",05483078,18880.67,КНП ММР ЦПМСД№5,35512883,2021-10-22,"0712010;2610;відшкод.за ел.ен.,посл.з пост.та розпод.ел.ен.за за вересень 21р;зг.з дог.21/03.02.21акт п/п.2/30.09.21 рах.2/04.10.21 МБ; ПДВ-3146,78."
"КНП ММР ""МЛ № 1""",05483078,96014.04,"ТОВ"" МИК.ЕЛЕКТРОПОСТАЧАЛЬНА КОМПАНІЯ""",42129888,2021-10-22,"0712010;2610;част.оп.за актив.електр.за вересень 21;зг.дог.44/153/05.02.21 д/у 4/24.09.21акт9/30.09.21рах.44/153/9/1 від 05.10.21 МБ;ПДВ-16002,34."
"КНП ММР ""МЛ № 1""",05483078,722.96,КНП ММР ЦПМСД№5,35512883,2021-10-22,"0712010;2610;відшкод.за водопостач. за вересень.21р;зг.з дог.21/03.02.21 акт п/п.2/30.09.21 рах.2/04.10.21 МБ; ПДВ-120,49."
"КНП ММР ""МЛ № 1""",05483078,415.61,КНП ММР ЦПМСД№5,35512883,2021-10-22,"0712010;2610;відшкод.за вивіз сміття за вересень.21р;зг.з дог.21/03.02.21 акт п/п.2/30.09.21 рах.2/04.10.21 МБ ; ПДВ-69,27."
"КНП ММР ""МЛ № 1""",05483078,80.87,Миколаїв.ГУК/Централ.р-н/11011000,37992030,2021-10-22,*;101;xxxx;військовий збір  утр.із лікарн. за серпень 21р.Пер. до бюдж.повн.;;;
"КНП ММР ""МЛ № 1""",05483078,4543.43,ПРИВАТ БАНК,23618145,2021-10-22,;;АСТОФ: лікарняні за серпень  21р.;;без ПДВ.
"КНП ММР ""МЛ № 1""",05483078,765.94,Миколаїв.ГУК/Централ.р-н/ 11010100,37992030,2021-10-22,*;101;xxxx;подат.на дох.фіз. ос.що сплач.под.агент.із дох.плат.под.у вигляді лікарнян.за серпень 21р.Пер. до бюдж.повн.;;;
"КНП ММР ""МЛ № 1""",05483078,29830,"КНП ММР ""Міська лікарня №1""",05483078,2021-10-11,";;Відшкодув.витрат на опл.праці та нарах.лікарям-інт.за 09.21;дог.25/01.01.21,звіт б/н-/05.10.21.пост.536-19.06.20 зг. виписк від 07.10.21;Без ПДВ."
"КНП ММР ""МЛ № 1""",05483078,282710.05,"ТОВ""АРТОНІКА""",41360386,2021-10-18,"0712010;2610;витрат.матер.для гемодіалізу(апарат.для підтрим.функц.организм.); дог.307/01.07.21р д/у1/24.09.21.в.нак177,рах-177/ 01.10.21. МБ;ПДВ-18495,05."
"КНП ММР ""МЛ № 1""",05483078,13897.01,Миколаїв.ГУК/Централ.р-н/18010500,37992030,2021-10-18,"*;101;05483078;КПКВК0712010,КЕКВ2610, земельний податок за жовтень 21р.Перерах до бюдж. повн.МБ;;;."
"КНП ММР ""МЛ № 1""",05483078,8179,"ТОВ""ЕВАКО""",43459793,2021-10-28,0712010;2610;част.оплата за вивіз твер. побутових відходів за вересень 21р;зг.з дог.1059-21/28.05.21 д/у2/15.06.21.акт ОУ-0000988/20.10.21 МБ; без ПДВ.
"КНП ММР ""МЛ № 1""",05483078,12318.29,"АТ""Миколаївобленерго""філ.м.Миколаєва",24789699,2021-10-26,"0712010;2610;част.оп.за розподіл електр.у вересні 21р.;зг.дог.44/153Р/12.01.21 д/у3/13.10.21 акт 9/30.09.21рах.44/153/9/1/від 06.10.21 МБ;ПДВ-2053,05."
"КНП ММР ""МЛ № 1""",05483078,152300,"ТОВ""Медичний Центр""М.Т.К""",21633086,2021-11-19,0712010;2610;Опл.за фармац.продукц.(інфулган розчин); дог№266/21/Б-НК/08.11.21вид.накл №МТКБ06175/08.11.21 ПКМУ№1012/22.09.21(COVID-19);без ПДВ.
"КНП ММР ""МЛ № 1""",05483078,29830,"КНП ММР ""Міська лікарня №1""",05483078,2021-11-19,";;Відшкодув.витрат на опл.праці та нарах.лікарям-інт.за 10.21;дог.25/01.01.21,звіт б/н-/15.11.21.пост.536-19.06.20 зг. виписк від 18.11.21;Без ПДВ."
"КНП ММР ""МЛ № 1""",05483078,8245.03,"ТОВ""ЕВАКО""",43459793,2021-11-15,0712010;2610;част.оплата за вивіз твер. побутових відходів за жовтень 21р;зг.з дог.1059-21/28.05.21 д/у2/15.06.21.акт ОУ-0000989/04.11.21 МБ; без ПДВ.
"КНП ММР ""МЛ № 1""",05483078,55675.53,"АТ""Миколаївобленерго""філ.м.Миколаєва",24789699,2021-11-15,"0712010;2610;част.оп.за розподіл електр.у жовтні 21р.;зг.дог.44/153Р/12.01.21 д/у3/13.10.21 акт 10/31.10.21рах.44/153/10/1від 01.11.21 МБ;ПДВ-9279,25."
