payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
"КНП ""МЛ № 5"" ОМР",01998957,70200,"ПП ""Медичний центр АРТ""",37422048,2020-01-31,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р д.у№4 14.01.20р д.у.5 23.01.20,акт над.посл.№1,рах.№1 вiд 29.01.20р,МЛ№5;б/ПДВ."
"КНП ""МЛ № 5"" ОМР",01998957,13500,"ПП ""Медичний центр АРТ""",37422048,2020-02-24,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р д.у№4 14.01.20р д.у.5 23.01.20,акт над.посл.,рах.№3 вiд 21.02.20р,МЛ№5;б/ПДВ."
"КНП ""МЛ № 5"" ОМР",01998957,26100,"ПП ""Медичний центр АРТ""",37422048,2020-02-12,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р д.у№4 14.01.20р д.у.5 23.01.20,акт над.посл.,рах.№2 вiд 10.02.20р,МЛ№5;б/ПДВ."
"КНП ""МЛ № 5"" ОМР",01998957,15300,"ПП ""Медичний центр АРТ""",37422048,2020-02-27,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р д.у№4 14.01.20р д.у.5 23.01.20,акт над.посл.,рах.№4 вiд 26.02.20р,МЛ№5;б/ПДВ."
"КНП ММР ""Міська лікарня ШМД""",05483090,80545.56,"ПП ""МЕДИЧНИЙ ЦЕНТР АРТ""",37422048,2020-03-31,0712010;2610; опл.за медичні послуги комп'ютерної томографії; зг.дог.№45 від 12.02.20р.акт №3 від 25.03.20р.ПКМУ №11 від 23.01.15р.; Без ПДВ.
"КНП ""МЛ № 5"" ОМР",01998957,11700,"ПП ""Медичний центр АРТ""",37422048,2020-03-11,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р д.у№4 14.01.20р д.у.5 23.01.20,акт над.посл.,рах.№5 вiд 10.03.20р,МЛ№5;б/ПДВ."
"КНП ""МЛ № 5"" ОМР",01998957,7200,"ПП ""Медичний центр АРТ""",37422048,2020-03-20,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р д.у№4 14.01.20р д.у.5 23.01.20,акт над.посл.,рах.№6 вiд 18.03.20р,МЛ№5;б/ПДВ."
"КНП ММР ""Міська лікарня ШМД""",05483090,39454.44,"ПП ""МЕДИЧНИЙ ЦЕНТР АРТ""",37422048,2020-03-31,0712010;2610; опл.за медичні послуги комп'ютерної томографії; зг.дог.№45 від 12.02.20р.акт №3 від 25.03.20р.МБ; Без ПДВ.
"КНП ""МЛ № 5"" ОМР",01998957,17100,"ПП ""Медичний центр АРТ""",37422048,2020-04-08,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р  д.у.5 23.01.20р д.у№6 30.03.20р,акт над.посл.,рах.№6 вiд 06.04.20р,МЛ№5;б/ПДВ."
"КНП ""МЛ № 5"" ОМР",01998957,8100,"ПП ""Медичний центр АРТ""",37422048,2020-04-28,"0712010;2610;послуги дiагностичної вiзуалiзацiї; д.п.з.т.з.д.к.№5 вiд12.02.19р  д.у.5 23.01.20р д.у№6 30.03.20р,акт над.посл.,рах.№9 вiд 27.04.20р,МЛ№5;б/ПДВ."
