payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
"КНП ""МРФПМЦ"" МОР",01998390,407559,Олiйник Б.М.  ФОП,xxxxxxxxxx,2021-12-06,"0712020;3210;За блок клап.та роз.кисн.в комп.з витратом.(Зах.прот.COVID19);р.№17нак.№15_26.11.2021р.,д.№296/3110_29.11. 21р.,Зг.пост.КМУ_26.01.21р.№47;Без ПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,1592441,Євтєєва В.В.  ФОП,xxxxxxxxxx,2021-12-06,"0712020;3210;Опл.за.крiог.ємк.(Зах.протид.COVID19);зг.р.№4 нак.№6_26.11.21р.,д.№02/1121ДП/3110_26.11.21р.;зг.пост.КМУ_ 26.01.21р.№47;БезПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,22779,Продтовари ОРВП  ТОВ,22426099,2021-12-21,"0717370;3210;Опл.за мясорубку;рах.№СФ-00223 та накл.№128_03.12.2021р.дог.302/3110_02.12.2021р.;за рах.соц.екон./рТГ; ПДВ-3796,50."
"КНП ""МРФПМЦ"" МОР",01998390,34056,Продтовари ОРВП  ТОВ,22426099,2021-12-21,"0717370;3210;Опл. за машину для перероб.овочiв;рах.№СФ-00200 та накл.№120_03.12.21р.,дог.303/3110_02.12.21р.;за рах. соц.-екон./рТГ;ПДВ-5676,00."
"КНП ""МРФПМЦ"" МОР",01998390,7863.8,Щербаченя О.В. ФОП,xxxxxxxxxx,2021-12-29,"0718772;3210;Тех.нагл.за вик.р.по об.""Рек.сис.мед.газ.кис.ткКНПМРФПМЦМОРвул.Вес.4с.Надб.Мик.р-н.Мик.обл.;р1а2 _28.12.21р.,д262/2240_21.12.21р.за рах.РФ;безПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,30434.08,Щербаченя О.В. ФОП,xxxxxxxxxx,2021-12-29,"0718772;3210;Тех.нагл.за вик.р.по об.""Рек.сис.мед.газ.кис.ткКНПМРФПМЦМОРвул.Вес.4с.Надб.Мик р-н,Мик обл.;р1а1_28.12.21р.,д258/2240_17.12.21р.за рах.РФ;БезПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,155583.13,Нiкоiнтерм ТОВ,42771239,2021-12-29,"0718772;3210;Вик.роб.по об.""Рек.сис.мед.газ.кис.ткКНПМРФПМЦМОРвул.Вес.4с.Надб.Мик.р-н,Мик.обл.;р№30акт№1_28.12.21 р.д.№261/2240_21.12.21р.за рах.РФ;Без ПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,41384.99,Газпосткомпанiя Нафтогаз Трейдинг  ТОВ,42399676,2021-12-29,"0712020;2610;Поп. оплата за природ газ за 12.21р.;рах.13-1006/21-БО-Т/12/21_28.12.21р.,д13-1006-21/БО-Т_31.10.21р.,дод.дот.енерг; ПДВ-6897,50."
"КНП ""МРФПМЦ"" МОР",01998390,49702.21,Щербаченя О.В. ФОП,xxxxxxxxxx,2021-12-07,"0712020;3210;Тех.нагл.за вик.роб.по.об.""Рек.сис.мед.газ.кис.ткКНПМРФПМЦМОРвул.Вес4с.Надб."";р.№1 акт№1_03.12.21р.,д.216/2240_20.08.21р.;БезПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,3543,"Оптомедсервiс- плюс""ПП",33084339,2021-12-17,"0712020;2610;опл за поточ ремонт медоблад,дистилятора;рах№216 та акт№922_02.12.21р.,д3000/2240_01.12.21р.;ПДВ-590,50."
"КНП ""МРФПМЦ"" МОР",01998390,31500,ТОВ АЛНIК СТРОЙ,42990695,2021-12-17,"0712020;2610;опл за посл.з поточ ремонту i т/о охолод.устан.;рах№81 та акт№2_02.12.21р.,д211/2240_06.08.21р.д.у№2_13.08.21р.;ПДВ-5250,00."
"КНП ""МРФПМЦ"" МОР",01998390,11858.4,Українська Мiжрегiональна Будiвельна Е,39330499,2021-12-28,"0718772;3210;Експ.ПКД по об.""Рек.сис.мед.газ.кис.ткКНПМРФПМЦМОРв.Вес4с.Надб.Мик р-н,Мик обл."";р№470а№1_23.12.21р.д.№ 21717/2240_15.12.21р.;за рах.РФ;ПДВ1976,40."
"КНП ""МРФПМЦ"" МОР",01998390,50000,Любенко I.В. ФОП,xxxxxxxxxx,2021-12-28,"0718772;3210;Кор.ПКДпо об.""Рек.сис.мед.газ.кис.ткКНПМРФПМЦМОРвул.Вес4с.Надб.Мик.р-н,Мик.обл"";р.00008/1акт1_23.12.2 1р.д. 255/2240_14.12.21р.,за рах РФ.;без ПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,177525.14,"ТОВ ""ТЕПЛОБУД-2""",42248221,2021-12-21,"0712020;2610;Част.опл.за пост.теп.ен.КНП""МРФПМЦ""МОРв12.21;р.9,акт9_13.12.21,д293/2271_22.11.21,д.у1_10.12.21,дод.дот.   ен.;безПДВ."
"КНП ""МРФПМЦ"" МОР",01998390,12782,Газпосткомпанiя Нафтогаз Трейдинг  ТОВ,42399676,2021-12-28,"0712020;2610;за природ газ за 11.21р.;акт№1_30.11.21р.,д.№13-1006/21-БО-Т_31.10.20р.;дод.дот.енерг;ПДВ-2130,33."
"КНП ""МРФПМЦ"" МОР",01998390,32731.78,"Микол.електропостачальна компанiя""ТОВ",42129888,2021-12-28,"0712020;2610;Кiнц.опл за активну електр.за 12.21р.;рах№38/37/12/1та акт№12_20.12.21р.,д38/37_30.12.20р.,ду5_17.12.21р.;дод.  дот.енерг.;ПДВ-5455,30."
"КНП ""МРФПМЦ"" МОР",01998390,3568.97,"АТ ""ОГС""Миколаївгаз""",05410263,2021-12-28,0712020;2610;опл за розподiл природного газу за 12.21;рах61030118 та актМКП81028770_14.12.21д42АВ540-11506-20 21.01.21р.дод.дот.енергоносiї;ПДВ-594.83.
"КНП ""МРФПМЦ"" МОР",01998390,10997.35,Миколаївобленерго АТ фiлiя Микол. р-ну,25713037,2021-12-28,"0712020;2610;опл за посл.з перет.реакт.електр.за 12.21р.;рах38/37/12/1 та акт№12_20.12.21р.д295/2273_ 31.12. 20 р.ду3_ 09.02.21р,;ПДВ-1832,89."
