payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
"ОКП ""Миколаївоблтеплоенерго""",31319242,4959589.94,"ПАТ ""Миколаївобленерго""",23399393,2018-02-08,"#КЕКВxxxx#,#ПКМУ від 04.03.02р.№256,для пог.заб.на 01.01.18р.,за фак.над.посл.за ел.ен,зг.з дог.№46/69 від 25.11.xxxxр.в т.ч.ПДВ xxxx,32#"
"ОКП ""Миколаївоблтеплоенрго""",31319242,5468404.06,"НАК ""Нафтогаз України""",20077720,2018-02-07,"#КЕКВxxxx#,#ПКМУвід04.03.02р.№256,для пог.заб.на 01.01.18 за фак.над.пос.за газ. зг.з дог.№xxxx/xxxx-ТЕ-22від 12.10.16р. у т.ч.ПДВ-xxxx,68#"
"ОКП ""Миколаївоблтеплоенерго""",31319242,91438.33,"НАК ""Нафтогаз України""",20077720,2018-02-28,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/xxxx-ТЕ-22 від 12.10.xxxxр.у т.ч. ПДВ-xxxx,72грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,7799374.46,"НАК ""Нафтогаз України""",20077720,2018-02-28,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/xxxx-ТЕ-22 від 12.10.xxxxр.у т.ч. ПДВ-xxxx,74грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,3176299.4,"НАК ""Нафтогаз України""",20077720,2018-02-28,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/xxxx-ТЕ-22 від 12.10.xxxxр.у т.ч. ПДВ-xxxx,23грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,6000000,"ПАТ ""Миколаївгаз""",05410263,2018-02-28,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxxV6QST016 від 01.01.xxxxр.у т.ч. ПДВ-xxxx,00грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,12042904.3,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-03-28,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.03.xxxxр. за фак.над.пос.за ел.ен.з дог.№46/69 від 13.11.xxxxр.у т.ч. ПДВ-xxxx,72грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,5000000,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-03-28,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за ел.ен.з дог.№46/69 від 25.11.xxxxр.у т.ч. ПДВ-xxxx,33грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,19775.35,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-03-16,"Постанова КМУ від 04.03.xxxxр.№256,для пог.заб. на 01.01.xxxxр.,за фак.над.посл.за ел.ен., зг.з дог.№46/69 від 25.11.xxxxр.в т.ч.ПДВ xxxx,90 грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,5843.83,"НАК ""Нафтогаз України""",20077720,2018-03-05,"Постанова КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.,зг.з дог.№xxxx/xxxx-ТЕ-22 від 12.10.xxxxр.у т.ч. ПДВ-xxxx,30грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,2251244.11,"НАК ""Нафтогаз України""",20077720,2018-03-27,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/xxxx-ТЕ-22 від 12.10.xxxxр.у т.ч. ПДВ-xxxx,36грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,6000000,"ПАТ ""Миколаївгаз""",05410263,2018-03-27,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.03.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxxV6QST016 від 01.01.xxxxр.у т.ч. ПДВ-xxxx,00грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,4242426.85,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-04-25,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.04.xxxxр. за фак.над.пос.за ел.ен.з дог.№46/69 від 13.11.xxxxр.у т.ч. ПДВ-xxxx,14грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,152700.19,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-04-24,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.04.xxxxр. за фак.над.пос.за ел.ен.з дог.№46/69 від 13.11.xxxxр.у т.ч. ПДВ-xxxx,03грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,1948246.65,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-04-19,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.04.xxxxр. за фак.над.пос.за ел.ен.з дог.№46/69 від 13.11.xxxxр.у т.ч. ПДВ-xxxx,77грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,14980128.44,"НАК ""Нафтогаз України""",20077720,2018-04-24,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/xxxx-ТЕ-22 від 12.10.xxxxр.у т.ч. ПДВ-xxxx,07грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,3000000,"ПАТ ""Миколаївгаз""",05410263,2018-04-24,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.03.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxxV6QST016 від 01.01.xxxxр.у т.ч. ПДВ-xxxx,00грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,1011616.68,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-05-25,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.05.xxxxр. за фак.над.пос.за ел.ен.з дог.№46/69 від 13.11.xxxxр.у т.ч. ПДВ-xxxx,78грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,12993.55,"ПАТ ""УКРТРАНСГАЗ""",41635376,2018-06-04,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.06.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/Тxxxx-xxxx від 01.04.xxxxр.у т.ч. ПДВ-2 165,59грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,2989727.08,"НАК ""Нафтогаз України""",20077720,2018-05-24,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.01.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/xxxx-ТЕ-22 від 12.10.xxxxр.у т.ч. ПДВ-xxxx,85грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,3000000,"ПАТ ""Миколаївгаз""",05410263,2018-05-24,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.05.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxxV6QST016 від 01.01.xxxxр.у т.ч. ПДВ-xxxx,00грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,220000,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-06-26,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.06.xxxxр. за фак.над.пос.за ел.ен.з дог.№46/69 від 13.11.xxxxр.у т.ч. ПДВ-xxxx,67грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,12993.55,"ПАТ ""УКРТРАНСГАЗ""",41635376,2018-06-26,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.06.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/Тxxxx-xxxx від 01.04.xxxxр.у т.ч. ПДВ-xxxx,59грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,1173.06,"ПАТ ""УКРТРАНСГАЗ""",41635376,2018-07-04,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.07.xxxxр. за фак.над.пос.за газ.зг.з дог.№xxxx/Тxxxx-xxxx від 01.04.xxxxр.у т.ч. ПДВ-195,51грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,240496.24,"ПАТ ""МИКОЛАЇВОБЛЕНЕРГО""",23399393,2018-07-27,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.07.xxxxр. за фак.над.пос.за ел.ен.;з дог.№46/69 від 13.11.xxxxр.;у т.ч. ПДВ-xxxx,67грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,36000,"ПАТ ""УКРТРАНСГАЗ""",41635376,2018-07-26,"Пост.КМУ від 04.03.xxxx № 256, для пог.заб.на 01.07.xxxxр. за фак.над.пос.за газ.;зг.з дог.№xxxx/Тxxxx-xxxx від 01.04.xxxxр.;у т.ч. ПДВ-195,51грн."
"ОКП ""Миколаївоблтеплоенерго""",31319242,2330.7,ДПСЗН Миколаївської міської ради,03194499,2018-07-27,"Повернення зайво нарахованих та перерахованих коштів,згідно листа ДПСЗ Миколаївської міської ради від 16.07.xxxx № 09.xxxx.04.Без ПДВ."
"ОКП ""Миколаївоблтеплоенерго""",31319242,1173.06,ДПСЗН Миколаївської міської ради,03194499,2018-07-27,"Повернення зайво нарахованих та перерахованих коштів,згідно листа ДПСЗ Миколаївської міської ради від 16.07.xxxx № 09.xxxx.04.Без ПДВ."
