payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Центрального району,05410576,100602.48,"ТОВ""Карс Клінінг""",37758876,2017-01-26,"9316060;2240;опл.за вив.снігу з мех.навантаж.за 01.17р;згД.1в.11.01.17р.та рах.4,акт1в.20.01.17р.;ПДВ-16767,08грн."
Адміністрація Центрального району,05410576,68789.46,"ТОВ""Карс Клінінг""",37758876,2017-01-31,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 01.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.2 акт1в.20.01.17р.;ПДВ-11464,91грн."
Адміністрація Центрального району,05410576,256534.21,"ТОВ""Карс Клінінг""",37758876,2017-01-31,"9316060;2240;опл.за мех.приб.доріг у01.17р;зг Д.292в.29.08.16р.д.у.2в.27.12.2016 та рах.3, акт1в.20.01.17р;ПДВ-42755,70грн."
Адміністрація Заводського району,05410599,45987.13,"ТОВ ""Карс Клінінг""",37758876,2017-02-16,"9016060; 2240; за прибирання снігу у січ.17р; зг.акта в/р№1 від 01.02.17р,дог.№02 від 03.01.17р; У т.ч.ПДВ-7664,52грн."
Адміністрація Центрального району,05410576,73406.05,"ТОВ""Карс Клінінг""",37758876,2017-02-16,"9316060;2240;опл.за мех.приб.доріг від снігу у 01.17р.;зг.д.463в.13.12.16р.д.у.1в.29.12.2016. та рах.6, акт1в.02.02.17р.;ПДВ-12234,34грн."
Департамент ЖКГ,03365707,198973.94,"ТОВ""КАРС КЛІНІНГ""",37758876,2017-02-16,"4016060;2240;посл.з прибир.(посип.і очищ.дор.і вул.м.Мик.в ос.-зим.пер.)за січень2017;Д.1в.06.01.17,рах.№5 акт в.р.№1в.30.01.17;ПДВ33162,32."
Адміністрація Центрального району,05410576,49510.34,"ТОВ""Карс Клінінг""",37758876,2017-02-16,"9316060;2240;опл.за вив.снігу з мех.навантаж.за 02.17р.;зг.дог.1в.11.01.17. та рах.12, акт 3 в.09.02.17р.;ПДВ-8251,72грн."
Адміністрація Центрального району,05410576,48877.62,"ТОВ""Карс Клінінг""",37758876,2017-02-16,"9316060;2240;опл.за вив.снігу з мех.навантаж.за 01.17р.;зг.дог.1в.11.01.17. та рах.10, акт 2 в.03.02.17р.;ПДВ-8146,27грн."
Адміністрація Центрального району,05410576,88450.3,"ТОВ""Карс Клінінг""",37758876,2017-02-16,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 01.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.11 акт2в.03.02.17р.;ПДВ-14741,72грн."
Адміністрація Інгульського району,05410582,62595.81,"ТОВ ""Карс Клінінг""",37758876,2017-02-14,"9216060;2240; за мех.приб.дор.від снігу;рах.9, акт 1/07.02.17,Д.7/31.01.17;ПДВ 10432,64."
Адміністрація Корабельного району,05410607,4770.05,ТОВ КАРС КЛІНІНГ,37758876,2017-02-28,"9116060;2240;пос.щодо механізованого прибир. доріг від снігу у  02.17р.;д.1 06.01.2017 акт2 13.02.2017р. ;ПДВ-795,01."
Адміністрація Центрального району,05410576,24928.56,"ТОВ""Карс Клінінг""",37758876,2017-02-24,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 02.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.16 акт3в.17.02.17р.;ПДВ-4154,76грн."
Адміністрація Заводського району,05410599,5709.37,"ТОВ ""Карс Клінінг""",37758876,2017-02-27,"9016060; 2240; за прибирання снігу у 02.17р; зг.акта в/р№2 від 20.02.17р,рах№14/20.02.17р,дог.№02 від 03.01.17р; У т.ч.ПДВ-951,56грн."
Адміністрація Корабельного району,05410607,43094.8,ТОВ КАРС КЛІНІНГ,37758876,2017-02-28,"9116060;2240;пос.щодо механізов.прибир.доріг від снігу у  01.17р.;д.1 06.01.2017р. рах.8 17.02.2017 акт1 17.02.2017;ПДВ-7182,47."
Адміністрація Інгульського району,05410582,2769.29,"ТОВ ""Карс Клінінг""",37758876,2017-02-22,"9216060;2240; за мех.приб.дор.від снігу;рах.15, акт 2/17.02.17,Д.7/31.01.17;ПДВ 461,55."
Адміністрація Центрального району,05410576,38279.64,"ТОВ""Карс Клінінг""",37758876,2017-03-16,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 02.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.19 акт4в.09.03.17р.;ПДВ-6379,94грн."
Адміністрація Інгульського району,05410582,188581.39,"ТОВ ""Карс Клінінг""",37758876,2017-03-23,"9216060;2240;за посл. забезп.механіз.вак.та вол. приб.доріг з 02.03-13.03.17; рах.20,акт 2 від 17.03.17,Д.4 від 15.08.16, д/у 2/31.12.16; ПДВ 31430,23."
Адміністрація Інгульського району,05410582,28943.56,"ТОВ ""Карс Клінінг""",37758876,2017-03-07,"9216060;2240;за посл. забезп.механіз.вак.та вол. приб.доріг за 28.02.17; рах.18,акт 1 від 01.03.17,Д.4 від 15.08.16, д/у 2/31.12.16; ПДВ 4823,93."
Адміністрація Центрального району,05410576,48772.68,"ТОВ""Карс Клінінг""",37758876,2017-03-27,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 03.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.25 акт6в.21.03.17р.;ПДВ-8128,78грн."
Адміністрація Інгульського району,05410582,15613.98,"ТОВ ""Карс Клінінг""",37758876,2017-03-27,"9216060;2240;за посл. забезп.механіз.вак.та вол. приб.доріг за 15.03.17; рах.26,акт 3 від 22.03.17,Д.4 від 15.08.16, д/у 2/31.12.16; ПДВ 2602,33."
Адміністрація Центрального району,05410576,88179.89,"ТОВ""Карс Клінінг""",37758876,2017-03-13,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 02.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.17, акт2в.03.03.17р.;ПДВ-14696,65грн."
Адміністрація Заводського району,05410599,219487.8,"ТОВ ""Карс Клінінг""",37758876,2017-03-21,"9016060; 2240; за мех.вакуумне прибир.доріг у 03.17р;зг.актВ/р 1/15.03.17,дог23/01.03.17р; УтрПДВ-36581,30грн."
Адміністрація Центрального району,05410576,87919.44,"ТОВ""Карс Клінінг""",37758876,2017-03-21,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 03.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.21 акт5в.16.03.17р.;ПДВ-14653,24грн."
Адміністрація Центрального району,05410576,17665.67,"ТОВ""Карс Клінінг""",37758876,2017-03-21,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 03.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.24, акт3в.16.03.17р.;ПДВ-2944,28грн."
Адміністрація Центрального району,05410576,79596.91,"ТОВ""Карс Клінінг""",37758876,2017-03-21,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 03.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.22, акт4в.16.03.17р.;ПДВ-13266,15грн."
Адміністрація Інгульського району,05410582,37410.17,"ТОВ ""Карс Клінінг""",37758876,2017-04-10,"9216060;2240;за посл. забезп.механіз.вак.та вол. приб.доріг з 27.03.17 по 29.03.17; рах.29,акт 4 від 04.04.17,Д.4 від 15.08.16, д/у 2/31.12.16; ПДВ 6235,03."
Адміністрація Центрального району,05410576,49897.36,"ТОВ ""Карс Клінінг""",37758876,2017-04-11,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 03.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.30, акт5в.05.04.17р.;ПДВ-8316.23грн."
Адміністрація Заводського району,05410599,80278.2,"ТОВ ""Карс Клінінг""",37758876,2017-04-11,"9016060; 2240; за мех.вакуумне прибир.доріг у 03.17р; зг.акт.пр.-пер.в/р №2/06.04.17., рах.№28/06.04.17р., дог.23/01.03.17р; Утр.ПДВ-13379,70грн."
Адміністрація Інгульського району,05410582,104452.07,"ТОВ ""Карс Клінінг""",37758876,2017-04-25,"9216060;2240;за посл. забезп.механіз.вак.та вол. приб.доріг з 02.04 по 15.04.17; рах.36,акт 5 від 19.04.17,Д.4 від 15.08.16, д/у 2/31.12.16; ПДВ 17408,68."
Адміністрація Центрального району,05410576,130077.5,"ТОВ ""Карс Клінінг""",37758876,2017-04-28,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 04.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.37, акт7в.20.04.17р.;ПДВ-21679.58грн."
Адміністрація Центрального району,05410576,67231.5,"ТОВ ""Карс Клінінг""",37758876,2017-04-06,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 03.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.27 акт7в.03.04.17р.;ПДВ-11205,25грн."
Адміністрація Центрального району,05410576,6455.4,"ТОВ ""Карс Клінінг""",37758876,2017-04-24,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 04.17р;згД.46в.05.04.16р.д.у.2в.27.12.16 та р.34 акт8в.12.04.17р.;ПДВ-1075,90грн."
Адміністрація Центрального району,05410576,51767.72,"ТОВ ""Карс Клінінг""",37758876,2017-04-24,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 04.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.31, акт6в.12.04.17р.;ПДВ-8627.95грн."
Адміністрація Центрального району,05410576,97434.65,"ТОВ ""Карс Клінінг""",37758876,2017-05-26,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 05.17р.;зг.д.101в.07.05.17р.та рах.50, акт02в.19.05.17р.;ПДВ-16239.11грн."
Адміністрація Центрального району,05410576,82285.38,"ТОВ ""Карс Клінінг""",37758876,2017-05-26,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 05.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.51, акт10в.19.05.17р.;ПДВ-13714.23грн."
Адміністрація Заводського району,05410599,111615.3,"ТОВ ""Карс Клінінг""",37758876,2017-05-26,"9016060; 2240; за мех.вакуумне прибир.доріг у 04.17р; зг.акт.пр.-пер.в/р №5/22.05.17р., рах.№44/22.05.17р., дог.23/01.03.17р; Утр.ПДВ-18602,55грн."
Адміністрація Корабельного району,05410607,189674.5,ТОВ КАРС КЛІНІНГ,37758876,2017-05-31,"9116060;2240;Опл.за механ.вакуум. приб.дор.у05.17;дог.15 22.02.17рах.53 19.05.17акт2 19.05.17;ПДВ-31612,42."
Адміністрація Заводського району,05410599,41321.65,"ТОВ ""Карс Клінінг""",37758876,2017-05-26,"9016060; 2240; за мех.вакуумне прибир.доріг у 04.17р; зг.акт.пр.-пер.в/р №7/22.05.17р., рах.№48/22.05.17р., дог.23/01.03.17р; Утр.ПДВ-6886,94грн."
Адміністрація Заводського району,05410599,49936.86,"ТОВ ""Карс Клінінг""",37758876,2017-05-26,"9016060; 2240; за мех.вакуумне прибир.доріг у 05.17р; зг.акт.пр.-пер.в/р №8/22.05.17р., рах.№49/22.05.17р., дог.23/01.03.17р; Утр.ПДВ-8322,81грн."
Адміністрація Заводського району,05410599,150921.88,"ТОВ ""Карс Клінінг""",37758876,2017-05-26,"9016060; 2240; за мех.вакуумне прибир.доріг у 05.17р; зг.акт.пр.-пер.в/р №6/22.05.17р., рах.№47/22.05.17р., дог.23/01.03.17р; Утр.ПДВ-25153,65грн."
Адміністрація Центрального району,05410576,509458.46,"ТОВ ""Карс Клінінг""",37758876,2017-05-22,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 05.17р.;зг.д.101в.07.05.17р.та рах.41, акт01в.17.05.17р.;ПДВ-84909.74грн."
Адміністрація Центрального району,05410576,71828.44,"ТОВ ""Карс Клінінг""",37758876,2017-05-29,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 05.17р;згД.100в.03.05.17р.д.у.1в.15.05.17 та р.54 акт01в.24.05.17р.;ПДВ-11971,41грн."
Адміністрація Заводського району,05410599,25824.25,"ТОВ ""Карс Клінінг""",37758876,2017-05-10,"9016060; 2240; за мех.вакуумне прибир.доріг у 04.17р; зг.акт.пр.-пер.в/р №4/03.05.17., рах.№39/03.05.17р., дог.23/01.03.17р; Утр.ПДВ-4304,04грн."
Адміністрація Заводського району,05410599,114475.77,"ТОВ ""Карс Клінінг""",37758876,2017-05-10,"9016060; 2240; за мех.вакуумне прибир.доріг у 04.17р; зг.акт.пр.-пер.в/р №3/03.05.17., рах.№38/03.05.17р., дог.23/01.03.17р; Утр.ПДВ-19079,30грн."
Адміністрація Центрального району,05410576,92875.79,"ТОВ ""Карс Клінінг""",37758876,2017-05-23,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 04.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.43, акт8в.18.05.17р.;ПДВ-15479.30грн."
Адміністрація Центрального району,05410576,62300.31,"ТОВ ""Карс Клінінг""",37758876,2017-05-23,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 05.17р.;зг.д.292в.29.08.16р.д.у.2в.27.12.2016. та рах.42, акт09в.18.05.17р.;ПДВ-10383,39грн."
Адміністрація Інгульського району,05410582,50454.18,"ТОВ ""Карс Клінінг""",37758876,2017-05-30,"9216060;2240;за посл. забезп.механіз.вак.та вол.приб.доріг з 08.05 по.17.05.17; рах.46,акт 7 від 22.05.17,Д.4 від 15.08.16, д/у 2/31.12.16; ПДВ 8409,03."
Адміністрація Інгульського району,05410582,30962.4,"ТОВ ""Карс Клінінг""",37758876,2017-05-30,"9216060;2240;за посл. забезп.механіз.вак.та вол.приб.доріг з 29.04.по 30.04.17; рах.45,акт 6 від 22.05.17,Д.4 від 15.08.16, д/у 2/31.12.16; ПДВ 5160,40."
Адміністрація Корабельного району,05410607,55414.4,ТОВ КАРС КЛІНІНГ,37758876,2017-06-12,"9116060;2240;Посл.за вол.прибирання доріг у05.17;дог.15 22.02.17рах.52 31.05.17акт1 31.05.17;ПДВ-9235,74."
Адміністрація Центрального району,05410576,155769.21,"ТОВ""Карс Клінінг""",37758876,2017-06-13,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 05.17р.;зг.д.101в.07.05.17р.та рах.57, акт04в.07.06.17р.;ПДВ-25961.54грн."
Адміністрація Центрального району,05410576,1151615.74,"ТОВ""Карс Клінінг""",37758876,2017-06-13,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 05.17р.;зг.д.101в.07.05.17р.та рах.56, акт03в.07.06.17р.;ПДВ-191935.96грн."
Адміністрація Центрального району,05410576,88960.68,"ТОВ""Карс Клінінг""",37758876,2017-06-13,"9316120;2240;опл.за лікв.несанк.звалищ ручн.і мех.спос.за 05.17р;згД.100в.03.05.17р.д.у.1в.15.05.17 та р.55 акт02в.07.06.17р.;ПДВ-14826,78грн."
Адміністрація Заводського району,05410599,67612.43,"ТОВ ""Карс Клінінг""",37758876,2017-06-13,"9016060; 2240; за мех.вакуумне прибир.доріг у 05.17р; зг.акт.пр.-пер.в/р №9/07.06.17., рах.№58/07.06.17р., дог.23/01.03.17р; Утр.ПДВ-11268,74грн."
Адміністрація Заводського району,05410599,50799.81,"ТОВ ""Карс Клінінг""",37758876,2017-06-13,"9016060; 2240; за мех.вакуумне прибир.доріг у 05.17р; зг.акт.пр.-пер.в/р №10/07.06.17., рах.№59/07.06.17р., дог.23/01.03.17р; Утр.ПДВ-8466,64грн."
Адміністрація Центрального району,05410576,1449188,"ТОВ""Карс Клінінг""",37758876,2017-06-27,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 06.17р.;зг.д.101в.07.05.17р.та рах.61, акт06в.22.06.17р.;ПДВ-241531.33грн."
Адміністрація Центрального району,05410576,163609.55,"ТОВ""Карс Клінінг""",37758876,2017-06-27,"9316060;2240;опл.за мех.вак.та вол.приб.доріг у 06.17р.;зг.д.101в.07.05.17р.та рах.64, акт05в.22.06.17р.;ПДВ-27268.26грн."
