payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
САД у Миколаївській обл.,25878206,107515.13,"ПП ""Парк Нових Технологiй""",32376542,2018-06-01,"3111020;2281;Розроб.пр.док.на пот.сер.рем.а/д заг.кор.держ.зн.;рах№25/05/01в.30.05.18р.,а.№2в30.05.18р.,дог№2-Бв.15.03.18р.;в.т.ч.ПДВ17919,19."
САД у Миколаївській обл.,25878206,115304.82,"ПП ""Парк Нових Технологiй""",32376542,2018-06-01,"3111020;2281;Розроб.пр.док.на пот.сер.рем.а/д заг.кор.держ.зн.;рах№25/05/05в.30.05.18р.,а.№1в30.05.18р.,дог№3-Бв.15.03.18р.;в.т.ч.ПДВ19217,47."
САД у Миколаївській обл.,25878206,71272.92,"ПП ""Парк Нових Технологiй""",32376542,2018-06-01,"3111020;2281;Розроб.пр.док.на пот.сер.рем.а/д заг.кор.держ.зн.;рах№25/05/04в.30.05.18р.,а.№5в30.05.18р.,дог№5-Бв.20.03.18р.;в.т.ч.ПДВ11878,82."
САД у Миколаївській обл.,25878206,188853.28,"ПП ""Парк Нових Технологiй""",32376542,2018-06-01,"3111020;2281;Розроб.пр.док.на пот.сер.рем.а/д заг.кор.держ.зн.;рах№25/05/03в.30.05.18р.,а.№4в30.05.18р.,дог№6-Бв.20.03.18р.;в.т.ч.ПДВ31475,54."
САД у Миколаївській обл.,25878206,189119.17,"ПП ""Парк Нових Технологiй""",32376542,2018-06-01,"3111020;2281;Розроб.пр.док.на пот.сер.рем.а/д заг.кор.держ.зн.;рах№25/05/02в.30.05.18р.,а.№3в30.05.18р.,дог№7-Бв.20.03.18р.;в.т.ч.ПДВ31519,86."
САД у Миколаївській обл.,25878206,486337.28,"ПП ""Парк Нових Технологiй""",32376542,2018-09-28,"3111020;3210;Корег.проектн.док.на рек.а/д.заг.кор.держ.зн.IIет.;рах№25/09/01,акт№2в.26.09.18р, д№38/2017в29.11.17р,д/у1в07.05.18р;ВтчПДВ81056,21."
САД у Миколаївській обл.,25878206,368798.62,"ПП ""Парк Нових Технологiй""",32376542,2018-11-29,"3111020;3210;Корег.проектн.док.на рек.а/д.заг.кор.держ.зн.IIIет.;рах№21/11/01,акт№3в.28.11.18р, д№38/2017в29.11.17р,д/у1в07.05.18р;ВтчПДВ61466,44."
САД у Миколаївській обл.,25878206,738951,"ПП ""Парк Нових Технологiй""",32376542,2018-12-26,"3111020;3210;Кор.проек.док.на буд а/д.заг.кор.;рах№21/11/02, акт№1в.14.12.18р, д№29-Бв 27.06.18р;ВтчПДВ123158,50."
САД у Миколаївській обл.,25878206,259909.94,"ПП ""Парк Нових Технологiй""",32376542,2018-12-28,"3111020;3210;Розр.пр.док.на кап.рем.мос.на а/д.заг.кор.держ. зн.;р№19/12/05,акт№1в.26.12.18р, д№62-Б в 21.12.18р,; ВтчПДВ43318,32."
САД у Миколаївській обл.,25878206,244421.77,"ПП ""Парк Нових Технологiй""",32376542,2018-12-28,"3111020;3210;Розр.пр.док.на кап.рем.мос.на а/д.заг.кор.держ. зн.;р№19/12/03,акт№1в.26.12.18р, д№57-Б в 21.12.18р,; ВтчПДВ40736,96."
