payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Заводського району,05410599,94161.2,"ТОВ ""УКРБІОРОСТ""",36954586,2020-07-10,"4018110;2240;ПослОзелТерТаУтрЗелНасЗвалДер.у06.20;акт11/05/01.07.20р11/05/01.07.20 д.юр/ТК153/19.05.20д.у1/26.05.20ПерНевідк(першоч)робіт/26.02.20;ПДВ-17930,31."
Адміністрація Заводського району,05410599,75937.98,"ТОВ ""УКРБІОРОСТ""",36954586,2020-07-09,"4016030; 2240; посл.з оз.тер.та утр.зел.насад.Знес.дерев на тер.Зав.р-ну м.Мик.у06.20; акт№9/05/01.07.20,рах№9/05/01.07.20, дог№ЮР/ТК151/18.05.20; ПДВ-14653,00."
Адміністрація Заводського району,05410599,19817.5,"ТОВ ""УКРБІОРОСТ""",36954586,2020-08-13,"4016030;2240;ЗаПослЗ озелТерТаУтрЗелНасЗнесДерНаТерЗавР-ну м.Му07.20;акт16/06/05.08.20р16/06/05.08.20 дюр/ТК151/18.05.20д.у1/26.05.20;ПДВ-3847,00."
