payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,291595.27,"ТОВ ""УКРБІОРОСТ""",36954586,2021-10-19,"1216030;2240;опл.лісозагот.пос.-пос.з видал.,обріз.дер.та корч.пнів на тер.м.Мик.за 09.21;Д.358 в.06.07.21,ДУ1в.06.07.21,р.№15,а.№15/358 в.08.10.21;ПДВ48599,21."
Департамент ЖКГ,03365707,272144.76,"ТОВ ""УКРБІОРОСТ""",36954586,2021-10-19,"1216030;2240;опл.лісозагот.пос.-пос.з видал.,обріз.дер.та корч.пнів на тер.м.Мик.за 09.21;Д.358 в.06.07.21,ДУ1в.06.07.21,р.№12,а.№12/358 в.08.10.21;ПДВ45357,46."
Департамент ЖКГ,03365707,423090.03,"ТОВ ""УКРБІОРОСТ""",36954586,2021-10-28,"1216030;2240;опл.лісозагот.пос.-пос.з видал.,обріз.дер.та корч.пнів на тер.м.Мик.за 10.21;Д.358 в.06.07.21,ДУ1в.06.07.21,р.№16,а.№16/358 в.20.10.21;ПДВ70515,00."
Адміністрація Заводського району,05410599,72006,"ТОВ ""УКРБІОРОСТ""",36954586,2021-11-25,"4016030;2240;за посл.з оз.тер.та утр.зел.нас.Знес.тв.та м’як.дер.,омол.та сан.об.дер. у10.21;акт06/10/7/16.11.21р06/10/7/16.11.21 дюр/ТК7/29.03.21;ПДВ-12001,00."
ММВУВД ФССУ В МИКОЛАЇВСЬКІЙ ОБЛАСТІ,41416805,38425.53,ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТ,36954586,2021-11-18,";;Допомога по ТВП КЕКВ xxxx; згідно заяви-розрахунка  №xxxx 23.09.xxxx р. зг. ЄР 95 ,ЗР 95  ;без ПДВ."
Адміністрація Корабельного району,05410607,200756.56,"ТОВ ""УКРБІОРОСТ""",36954586,2021-11-08,"4116030;2240;за пос з озел.тер.та утр.зел.нас.(знес.,форм.крони та саніт.обр.дер.) у 10.21;д.204 26.01.21,д.у.1 26.01.21,р.1,а.06/10/204- 29.10.21;ПДВ-33459,43."
Департамент ЖКГ,03365707,744180,"ТОВ ""УКРБІОРОСТ""",36954586,2021-11-23,"1216030;2240; за посл.з видал.дер. та корч.пнів на тер.м.Мик.за 11.21;Д.626від21.10.21ду1від21.10.21 рах.01 акт 01/626 від 16.11.21;ПДВ121030,00."
Департамент ЖКГ,03365707,747408,"ТОВ ""УКРБІОРОСТ""",36954586,2021-11-23,"1216030;2240; за посл.з видал.дер. та корч.пнів на тер.м.Мик.за 11.21;Д.626від21.10.21ду1від21.10.21 рах.02 акт 02/626 від 16.11.21;ПДВ124568,00."
Адміністрація Заводського району,05410599,58810.37,"ТОВ ""УКРБІОРОСТ""",36954586,2021-12-08,"4016030;2240;за лісозаг.послуги Корч.пнів з навант.та вивез. залиш.наТерЗавР-ну м.Мик.у09.21;акт02/11/44/01.12.21, р02/01.12.21, дог№44/СЗ/11.03.21;ПДВ-9801,73."
Адміністрація Корабельного району,05410607,201278.28,"ТОВ ""УКРБІОРОСТ""",36954586,2021-12-08,"4116030;2240;пос.з оз.тер.та утр.зел.нас.(знес.,фор.кр.та сан.обр.дер.) у 11.21;д.204 26.01.21,д.у.2 01.12.21,р.б/н 01.12.21,а.07/11/204 01.12.21;ПДВ-33546,38."
