payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Центрального району,05410576,67488.78,"ТОВ""УКРБІОРОСТ""",36954586,2021-02-11,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.сан.та формув.обрез.дерев.);зг.дог.114в.24.03.20,д/у4-26.01.21,рах.,акт01/21/114в.03.02.21;ПДВ-12362,21."
Департамент ЖКГ,03365707,185327.18,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-26,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 02.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№5,акт№5/02 в.22.02.2021;ПДВ 30887,86."
Департамент ЖКГ,03365707,140213.26,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-26,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 02.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№7,акт№7/02 в.22.02.2021;ПДВ 23368,88."
Департамент ЖКГ,03365707,118276.18,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-26,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 02.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№8,акт№8/02 в.22.02.2021;ПДВ 19712,70."
Департамент ЖКГ,03365707,183141.71,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-26,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 02.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№6,акт№6/02 в.22.02.2021;ПДВ 30523,62."
ШВСМ,02928255,15000,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-12,"1115033;2240;послуги з санітарної обрізки та знесення зелених насаджень;Д.№01-02-21 від 01.02.2021р.,акт№15,рах.№12 від 10.02.21р.;ПДВ-2500,00грн."
Департамент ЖКГ,03365707,158337.56,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-12,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 01.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№2,акт№2/01 в.01.02.2021;ПДВ 26389,59."
Департамент ЖКГ,03365707,179217.68,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-12,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 01.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№3,акт№3/01 в.01.02.2021;ПДВ 29869,61."
Департамент ЖКГ,03365707,141206.57,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-12,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 01.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№1,акт№1/01 в.01.02.2021;ПДВ 23534,43."
Департамент ЖКГ,03365707,122595.54,"ТОВ ""УКРБІОРОСТ""",36954586,2021-02-12,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 01.2021;Д.№1167 в.16.07.2020,ДУ5 в.20.01.2021,р.№4,акт№4/01 в.01.02.2021;ПДВ 20432,59."
