payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Корабельного району,05410607,22710.28,"ТОВ ""УКРБІОРОСТ""",36954586,2021-04-21,"4116030;2240;опл.за посл. з озел. тер.та утр. зел. нас. (зн.,форм.та сан.об.д.) у 04,21;д.204 та д.у.1 26.01.21,р.01/03/204 та а.01/03/204 05.04.21;ПДВ-4124,65."
Адміністрація Корабельного району,05410607,59142.34,"ТОВ ""УКРБІОРОСТ""",36954586,2021-05-14,"4116030;2240;за пос. з озел. тер.та утр.зел.нас.(знес.,фор.крони та сан.обр. дер.) у 04.21;д.204 26.01.21,д.у.1 26.01.21,р.1,а.02/04/204- 06.05.21;ПДВ-10089,32."
Адміністрація Корабельного району,05410607,143925.99,"ТОВ ""УКРБІОРОСТ""",36954586,2021-06-11,"4116030;2240;опл.за посл.з озел.тер.та утр.зел.нас.(зн.форм.крони та сан.обр.дер.) у05.21;д.204 26.01.21,д.у.1 26.01.21,р. та а.03/05/204 02.06.21;ПДВ-24924,61."
Адміністрація Корабельного району,05410607,98110.56,"ТОВ ""УКРБІОРОСТ""",36954586,2021-07-26,"4116030;2240;за посл. з озел. тер.та утр.зел.нас. (знес.фор.крони та саніт.обр.дер.) у 07.21;д.204 26.01.21д.у.1 26.01.21,р.1,а.05/07/204-13.07.21;ПДВ-17471,76."
Адміністрація Корабельного району,05410607,183376.67,"ТОВ ""УКРБІОРОСТ""",36954586,2021-08-27,"4116030;2240;оп.за озел.тер.та утр.зел.нас.(знес.,форм. крон та сан.обр.дерев)у 08,21;д.204 26.01.21,д.у.1 26.01.21,р.16 та а.05/08/204 16.08.21;ПДВ-32018,22."
Адміністрація Корабельного району,05410607,200756.56,"ТОВ ""УКРБІОРОСТ""",36954586,2021-11-08,"4116030;2240;за пос з озел.тер.та утр.зел.нас.(знес.,форм.крони та саніт.обр.дер.) у 10.21;д.204 26.01.21,д.у.1 26.01.21,р.1,а.06/10/204- 29.10.21;ПДВ-33459,43."
Адміністрація Корабельного району,05410607,201278.28,"ТОВ ""УКРБІОРОСТ""",36954586,2021-12-08,"4116030;2240;пос.з оз.тер.та утр.зел.нас.(знес.,фор.кр.та сан.обр.дер.) у 11.21;д.204 26.01.21,д.у.2 01.12.21,р.б/н 01.12.21,а.07/11/204 01.12.21;ПДВ-33546,38."
