payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Центрального району,05410576,67488.78,"ТОВ""УКРБІОРОСТ""",36954586,2021-02-11,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.сан.та формув.обрез.дерев.);зг.дог.114в.24.03.20,д/у4-26.01.21,рах.,акт01/21/114в.03.02.21;ПДВ-12362,21."
Адміністрація Центрального району,05410576,37773.85,"ТОВ""УКРБІОРОСТ""",36954586,2021-03-31,"4316030;2240;підріз.дер.і жив.огор.(посл.зі знес.та обріз.дерев);зг.дог.3в.27.01.21,д/у1-04.02.21,рах.,акт01/03/3в.19.03.21;ПДВ-7138,55."
Адміністрація Центрального району,05410576,98161.44,"ТОВ""УКРБІОРОСТ""",36954586,2021-04-21,"4316030;2240;підріз.дер.і жив.огор.(посл.зі знес.та обріз.дерев);зг.дог.3в.27.01.21,д/у1-04.02.21,д/у2в.24.03.21,рах.,акт02/04/3в.12.04.21;ПДВ-18810,34."
Адміністрація Центрального району,05410576,93088.31,"ТОВ""УКРБІОРОСТ""",36954586,2021-05-27,"4316030;2240;підріз.дер.і жив.огор.(посл.зі знес.та обріз.дерев);зг.дог.3 від 27.01.21,д/у 1-04.02.21,д/у 2-24.03.21,рах.,акт03/05/3 -18.05.21;ПДВ-17647,65."
Адміністрація Центрального району,05410576,158916.55,"ТОВ""УКРБІОРОСТ""",36954586,2021-07-22,"4316030;2240;підріз.дер.і жив.огор.(посл.зі знес.та обріз.дерев);зг.дог.3в.27.01.21,д/у1-04.02.21,д/у2в.24.03.21,рах.,акт04/07/3в.08.07.21;ПДВ-28446,27."
Адміністрація Центрального району,05410576,150205.78,"ТОВ""УКРБІОРОСТ""",36954586,2021-09-10,"4316030;2240;підріз.дер.і жив.огор.(посл.зі знес.та обріз.дерев);зг.договору3в.27.01.21,д/у-3-26.07.21рах.,акт05/09/3в.06.09.21;ПДВ-27527,55."
Адміністрація Центрального району,05410576,105474.17,"ТОВ""УКРБІОРОСТ""",36954586,2021-12-08,"4316030;2240;підріз.дер.і жив.огор.(посл.зі знес.та обріз.дерев);зг.дог.3в.27.01.21,д/у3-26.07.21,рах.,акт06/11/3в.01.12.21;ПДВ-20203,99."
