payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Департамент ЖКГ,03365707,144485.46,"ТОВ ""УКРБІОРОСТ""",36954586,2020-05-04,"1218340;2240;оп.за пос.з підріз.дер.і живих огор.(лік.нас.бур.,сніголам.,вітровал.);Дог.№83 в.11.02.20,ДУ2в.02.04.20,р№1,а.п.в.р.№3/03/1 в.28.04.2020р;без ПДВ."
Департамент ЖКГ,03365707,144485.46,"ТОВ ""УКРБІОРОСТ""",36954586,2020-05-04,"1218340;2240;оп.за пос.з підріз.дер.і живих огор.(лік.нас.бур.,сніголам.,вітровал.);Дог.№83 в.11.02.20,ДУ2в.02.04.20,р№1,а.п.в.р.№3/03/1 в.28.04.2020р;без ПДВ."
Департамент ЖКГ,03365707,131431.24,"ТОВ ""УКРБІОРОСТ""",36954586,2020-08-19,"1216030;2240;за посл.з озел.тер.та утрим.зелен.насадж.(видал.,обріз.дерев та корч.пнів)за 07.2020;Д.№1167 від 16.07.2020,р.№1,а.№1/08від12.08.2020;ПДВ21905,21."
Департамент ЖКГ,03365707,130859.69,"ТОВ ""УКРБІОРОСТ""",36954586,2020-08-27,"1216030;2240;за пос.озел.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 08.2020;Д.№1167 в.16.07.2020,ДУ1 в.03.08.2020,р.№2,акт2/08 в.18.08.2020;ПДВ21809,95."
Департамент ЖКГ,03365707,51951.46,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-28,"1216030;2240;за пос.озел.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 09.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.10,акт10/09 в.22.09.2020;ПДВ8658,58."
Департамент ЖКГ,03365707,130786.14,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-25,"1216030;2240;за пос.озел.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 09.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.№6,акт6/09 в.21.09.2020;ПДВ21797,69."
Департамент ЖКГ,03365707,18198.34,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-25,"1216030;2240;за пос.озел.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 09.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.№9,акт9/09 в.21.09.2020;ПДВ 3033,06."
Департамент ЖКГ,03365707,148315.6,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-25,"1216030;2240;за пос.озел.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 09.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.№7,акт7/09 в.21.09.2020;ПДВ24719,27."
Департамент ЖКГ,03365707,244829.38,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-14,"1216030;2240;за пос.озел.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 08.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.№4,акт4/08 в.07.09.2020;ПДВ40804,90."
Департамент ЖКГ,03365707,148163.23,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-30,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 08.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.№5,акт№5/08 в.24.09.2020;ПДВ 24693,87."
Департамент ЖКГ,03365707,151339.97,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-30,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 09.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.11,акт11/10 в.24.09.2020;ПДВ 25223,33."
Департамент ЖКГ,03365707,140378.51,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-30,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 09.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.№8,акт№8/09 в.24.09.2020;ПДВ 23396,42."
Департамент ЖКГ,03365707,149230.67,"ТОВ ""УКРБІОРОСТ""",36954586,2020-09-09,"1216030;2240;за пос.озел.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 08.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.№3,акт3/08 в.03.09.2020;ПДВ24871,78."
Департамент ЖКГ,03365707,215558.52,"ТОВ ""УКРБІОРОСТ""",36954586,2020-10-15,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.15,акт15/10 в.08.10.2020;ПДВ35926,42 ."
Департамент ЖКГ,03365707,162470.09,"ТОВ ""УКРБІОРОСТ""",36954586,2020-10-15,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.13,акт13/10 в.08.10.2020;ПДВ27078,35 ."
Департамент ЖКГ,03365707,123667.92,"ТОВ ""УКРБІОРОСТ""",36954586,2020-10-15,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.12,акт12/10 в.08.10.2020;ПДВ 20611,32."
Департамент ЖКГ,03365707,224977.92,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.16,акт16/10 в.02.11.2020;ПДВ 37496,32."
Департамент ЖКГ,03365707,158509.21,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.18,акт18/10 в.02.11.2020;ПДВ 26418,20."
Департамент ЖКГ,03365707,246471.36,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.14,акт14/10 в.02.11.2020;ПДВ 41078,56."
Департамент ЖКГ,03365707,174857.32,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.17,акт17/10 в.02.11.2020;ПДВ 29142,89."
Департамент ЖКГ,03365707,224977.92,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.16,акт16/10 в.02.11.2020;ПДВ 37496,32."
Департамент ЖКГ,03365707,158509.21,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.18,акт18/10 в.02.11.2020;ПДВ 26418,20."
Департамент ЖКГ,03365707,246471.36,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.14,акт14/10 в.02.11.2020;ПДВ 41078,56."
Департамент ЖКГ,03365707,174857.32,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-06,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 10.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.17,акт17/10 в.02.11.2020;ПДВ 29142,89."
Департамент ЖКГ,03365707,248061.82,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-30,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 11.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.27,акт27/11 в.24.11.2020;ПДВ 41343,64."
Департамент ЖКГ,03365707,165063.56,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-30,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 11.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.24,акт24/11 в.24.11.2020;ПДВ 27510,59."
Департамент ЖКГ,03365707,169054.54,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-30,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 11.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.25,акт25/11 в.24.11.2020;ПДВ 28175,76."
Департамент ЖКГ,03365707,125379.48,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-30,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 11.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.23,акт23/11 в.24.11.2020;ПДВ 20896,58."
Департамент ЖКГ,03365707,130455.62,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-24,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 11.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.22,акт22/11 в.16.11.2020;ПДВ 21742,60."
Департамент ЖКГ,03365707,149669.46,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-24,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 11.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.21,акт21/11 в.16.11.2020;ПДВ 24944,91."
Департамент ЖКГ,03365707,157683.53,"ТОВ ""УКРБІОРОСТ""",36954586,2020-11-24,"1216030;2240;за пос.оз.тер.та утр.зел.нас.(видал.,обр.дер.та корч.пнів)за 11.2020;Д.№1167 в.16.07.2020,ДУ2 в.03.09.2020,р.20,акт20/11 в.16.11.2020;ПДВ 26280,59."
