payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Центрального району,05410576,21249.6,"ТОВ""УКРБІОРОСТ""",36954586,2020-04-27,"4316030;2240;викорч.пнів, з подальш.вивез.сміття;зг.дог.№204 від 09.04.2020, рах.на оплату,акт над.посл.№1від15.04.2020;ПДВ-3541,60."
Адміністрація Центрального району,05410576,90746.68,"ТОВ""УКРБІОРОСТ""",36954586,2020-05-18,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.сан.та формув.обрез.дерев.);зг.дог.114в.24.03.2020,рах.,акт7/04в.07.05.2020;ПДВ-15124,45."
Адміністрація Центрального району,05410576,103501.99,"ТОВ""УКРБІОРОСТ""",36954586,2020-06-22,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.,сан.та формув.обріз.дерев);зг.дог.114 від 24.03.2020, рах., акт13/05 від 05.06.2020;ПДВ-21522,38."
Адміністрація Центрального району,05410576,86831.54,"ТОВ""УКРБІОРОСТ""",36954586,2020-07-15,"4316030;2240;посл.з озел.тер.та утр.зел.нас.(сан.вид.пор. з дер.та зел.зон із навант.та вивез.гілок);дог.251 від 20.05.20,р.б/н, акт18/06-02.07.20;ПДВ-14471,92."
Адміністрація Центрального району,05410576,110168.46,"ТОВ""УКРБІОРОСТ""",36954586,2020-07-09,"4316030;2240;посл.з озел.тер.та утр.зел.нас.(сан.вид.пор. з дер.та зел.зон із навант.та вивез.гілок);дог.251 від 20.05.20,р.б/н, акт15/05-01.07.20;ПДВ-18361,41."
Адміністрація Центрального району,05410576,33761.14,"ТОВ""УКРБІОРОСТ""",36954586,2020-08-10,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.сан.та формув.обрез.дерев.);зг.дог.114в.24.03.2020,рах.,акт20/07в.03.08.2020;ПДВ-6225,13."
Адміністрація Центрального району,05410576,57142.01,"ТОВ""УКРБІОРОСТ""",36954586,2020-09-16,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.,сан.та формув.обріз.дерев);зг.дог.114 від 24.03.2020,рах.,акт22/08 від 02.09.2020;ПДВ-9523,67."
Адміністрація Центрального району,05410576,35449.21,"ТОВ""УКРБІОРОСТ""",36954586,2020-09-10,"4316030;2240;посл.з підріз.дер.і жив.огор.(знес.,омол.,сан.та формув.обріз.дерев);зг.дог.114 від 24.03.2020, рах.б/н, акт 21/07 від 01.09.2020;ПДВ-5908,20."
Адміністрація Центрального району,05410576,14814.6,"ТОВ""УКРБІОРОСТ""",36954586,2020-10-26,"4316030;2240;посл.з підріз.дер.і жив.огор.(омол.сан.та формув.обрез.дерев.);зг.дог.114в.24.03.2020,рах.,акт23/10в.19.10.2020;ПДВ-2469,10."
Адміністрація Центрального району,05410576,92555.4,"ТОВ""УКРБІОРОСТ""",36954586,2020-11-25,"4316030;2240;посл.з знесення сухих та аварійних дерев;зг.дог.466в.22.10.20,рах.на опл.,акт01/11/466в.17.11.20;ПДВ-18909,44."
