payers_name,payer_edrpou,amount,recipt_name,recipt_edrpou,trans_date,payment_details
Адміністрація Заводського району,05410599,73228.6,"ТОВ ""УКРБІОРОСТ""",36954586,2021-04-27,"4016030;2240;за посл.з оз.тер.та утр.зел.нас.Знес.тв.та м’як.дер.,омол.та сан.об.дер. у04.21;акт№01/04/7/15.04.21р№1/15.04.21 д№юр/ТК7/29.03.21;ПДВ-13567,80."
Адміністрація Заводського району,05410599,15558.3,"ТОВ ""УКРБІОРОСТ""",36954586,2021-05-28,"4016030;2240;Посл.зОзТерТаУтрЗелНасРозп ТаПрибВпалГілТа ДеревНаТерЗавР-ну м.Мик.у05.21; акт№01/05/6/18.05.21,р№1/18.05.21,д.№юр/ТК6/17.03.21;ПДВ-2758,33."
Адміністрація Заводського району,05410599,20188.63,"ТОВ ""УКРБІОРОСТ""",36954586,2021-05-28,"4016030;2240;за лісозаг.послуги Корч.пнів з навант.та вивез. залиш.наТерЗавР-ну м.Мик.у04.21;акт01/05/44/18.05.21, р№1/18.05.21, дог№44/СЗ/11.03.21;ПДВ-3364,77."
Адміністрація Заводського району,05410599,57417.26,"ТОВ ""УКРБІОРОСТ""",36954586,2021-05-28,"4016030;2240;Посл.з ОзТерТаУтрЗелНасЗнесТвТаМ’якДерОмолТаСанОбрДерНа ТерЗавР-ну м.М у05.21;акт02/05/7/18.05.21р№1/18.05.21дюр/ТК7/29.03.21;ПДВ-10411,20."
Адміністрація Заводського району,05410599,117816.21,"ТОВ ""УКРБІОРОСТ""",36954586,2021-06-30,"4016030;2240;за посл.з оз.тер.та утр.зел.нас.Знес.тв.та м’як.дер.,омол.та сан.об.дер. у06.21;акт№03/06/7/22.06.21р№6/22.06.21 д№юр/ТК7/29.03.21;ПДВ-21000,00."
Адміністрація Заводського району,05410599,27866.76,"ТОВ ""УКРБІОРОСТ""",36954586,2021-07-22,"4016030;2240;Посл.зОзТерТаУтрЗелНасРозп ТаПрибВпалГілТа ДеревНаТерЗавР-ну м.Мик.у06.21; акт№02/06/6/06.07.21,р№2/06.07.21,д.№юр/ТК6/17.03.21;ПДВ-5620,83."
Адміністрація Заводського району,05410599,20483.44,"ТОВ ""УКРБІОРОСТ""",36954586,2021-08-16,"4016030;2240;Посл.зОзТерТаУтрЗелНасРозп ТаПрибВпалГілТа ДеревНаТерЗавР-ну м.Мик.у06.21; акт№03/07/6/02.08.21,р№03/07/6/02.08.21,д.№юр/ТК6/17.03.21;ПДВ-4004,17."
Адміністрація Заводського району,05410599,94161.75,"ТОВ ""УКРБІОРОСТ""",36954586,2021-08-16,"4016030;2240;за посл.з оз.тер.та утр.зел.насВидПорІзНавТаВивГілНаТерЗавР-ну м.М у06.21;акт№01/07/10/02.08.21р№01/07/10/02.08.21 д№юр/ТК10/31.05.21;ПДВ-15693,63."
Адміністрація Заводського району,05410599,11237.29,"ТОВ ""УКРБІОРОСТ""",36954586,2021-08-18,"4016030;2240;Посл.зОзТерТаУтрЗелНасРозп ТаПрибВпалГілТа ДеревНаТерЗавР-ну м.Мик.у07-08.21; акт№04/07/6/11.08.21,р№04/11.08.21,д.№юр/ТК6/17.03.21;ПДВ-2325,00."
Адміністрація Заводського району,05410599,81531.27,"ТОВ ""УКРБІОРОСТ""",36954586,2021-08-18,"4016030;2240;за посл.з оз.тер.та утр.зел.нас.Зн.тв.та м’як.дер.,омол.та сан.об.дер. у07-08.21;акт№04/08/7/11.08.21р№04/11.08.21 д№юр/ТК7/29.03.21;ПДВ-13920,00."
Адміністрація Заводського району,05410599,120438,"ТОВ ""УКРБІОРОСТ""",36954586,2021-09-08,"4016030;2240;за посл.з оз.тер.та утр.зел.насВидПорІзНавТаВивГілНаТерЗавР-ну м.М у08.21;акт№02/08/10/01.09.21р№02/08/10/01.09.21 д№юр/ТК10/31.05.21;ПДВ-20073,00."
Адміністрація Заводського району,05410599,68700,"ТОВ ""УКРБІОРОСТ""",36954586,2021-09-16,"4016030;2240;за посл.з оз.тер.та утр.зел.нас.Знес.тв.та м’як.дер.,омол.та сан.об.дер. у08.21;акт№05/09/7/07.09.21р№7/07.09.21 д№юр/ТК7/29.03.21;ПДВ-11450,00."
Адміністрація Заводського району,05410599,32290.85,"ТОВ ""УКРБІОРОСТ""",36954586,2021-09-16,"4016030;2240;за посл.з оз.тер.та утр.зел.насВидПорІзНавТаВивГілНаТерЗавР-ну м.М у08.21;акт№03/09/10/07.09.21р№10/07.09.21 д№юр/ТК10/31.05.21;ПДВ-5381,81."
Адміністрація Заводського району,05410599,72006,"ТОВ ""УКРБІОРОСТ""",36954586,2021-11-25,"4016030;2240;за посл.з оз.тер.та утр.зел.нас.Знес.тв.та м’як.дер.,омол.та сан.об.дер. у10.21;акт06/10/7/16.11.21р06/10/7/16.11.21 дюр/ТК7/29.03.21;ПДВ-12001,00."
Адміністрація Заводського району,05410599,58810.37,"ТОВ ""УКРБІОРОСТ""",36954586,2021-12-08,"4016030;2240;за лісозаг.послуги Корч.пнів з навант.та вивез. залиш.наТерЗавР-ну м.Мик.у09.21;акт02/11/44/01.12.21, р02/01.12.21, дог№44/СЗ/11.03.21;ПДВ-9801,73."
Адміністрація Заводського району,05410599,37720,"ТОВ ""УКРБІОРОСТ""",36954586,2021-12-08,"4016030;2240;за посл.з оз.тер.та утр.зел.насВидПорІзНавТаВивГілНаТерЗавР-ну м.М у08.21;акт№04/11/10/01.12.21р№04/01.12.21 д№юр/ТК10/31.05.21;ПДВ-6286,67."
